,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(1,)",[0.36902909],0.36902909333812883,"('X2',)",,0.0,
2,"(0, 1)",[0.54337643],0.5433764294646848,"('X1', 'X2')",,0.0,
3,"(0, 1, 10)",[0.56014175],0.560141745292799,"('X1', 'X2', 'X11')",,0.0,
4,"(0, 1, 10, 16)",[0.55057166],0.5505716586534386,"('X1', 'X2', 'X11', 'X17')",,0.0,
5,"(0, 1, 10, 16, 17)",[0.38105193],0.38105192908195407,"('X1', 'X2', 'X11', 'X17', 'X18')",,0.0,
6,"(0, 1, 10, 16, 17, 61)",[0.16480767],0.16480767435128107,"('X1', 'X2', 'X11', 'X17', 'X18', 'X62')",,0.0,
7,"(0, 1, 10, 16, 17, 19, 61)",[0.23891957],0.23891956891571664,"('X1', 'X2', 'X11', 'X17', 'X18', 'X20', 'X62')",,0.0,
8,"(0, 1, 10, 16, 17, 19, 47, 61)",[0.22962214],0.2296221392123956,"('X1', 'X2', 'X11', 'X17', 'X18', 'X20', 'X48', 'X62')",,0.0,
9,"(0, 1, 10, 16, 17, 19, 47, 59, 61)",[0.18213619],0.18213618518185315,"('X1', 'X2', 'X11', 'X17', 'X18', 'X20', 'X48', 'X60', 'X62')",,0.0,
10,"(0, 1, 10, 16, 17, 19, 43, 47, 59, 61)",[0.15132341],0.1513234143393094,"('X1', 'X2', 'X11', 'X17', 'X18', 'X20', 'X44', 'X48', 'X60', 'X62')",,0.0,
11,"(0, 1, 3, 10, 16, 17, 19, 43, 47, 59, 61)",[0.18175795],0.18175795201712952,"('X1', 'X2', 'X4', 'X11', 'X17', 'X18', 'X20', 'X44', 'X48', 'X60', 'X62')",,0.0,
12,"(0, 1, 3, 10, 16, 17, 19, 37, 43, 47, 59, 61)",[0.14639968],0.14639967926223596,"('X1', 'X2', 'X4', 'X11', 'X17', 'X18', 'X20', 'X38', 'X44', 'X48', 'X60', 'X62')",,0.0,
13,"(0, 1, 3, 10, 15, 16, 17, 19, 37, 43, 47, 59, 61)",[0.17365287],0.17365286610150288,"('X1', 'X2', 'X4', 'X11', 'X16', 'X17', 'X18', 'X20', 'X38', 'X44', 'X48', 'X60', 'X62')",,0.0,
14,"(0, 1, 3, 10, 15, 16, 17, 19, 33, 37, 43, 47, 59, 61)",[0.14492949],0.1449294854842561,"('X1', 'X2', 'X4', 'X11', 'X16', 'X17', 'X18', 'X20', 'X34', 'X38', 'X44', 'X48', 'X60', 'X62')",,0.0,
15,"(0, 1, 3, 10, 14, 15, 16, 17, 19, 33, 37, 43, 47, 59, 61)",[0.1932693],0.19326930067796189,"('X1', 'X2', 'X4', 'X11', 'X15', 'X16', 'X17', 'X18', 'X20', 'X34', 'X38', 'X44', 'X48', 'X60', 'X62')",,0.0,
16,"(0, 1, 3, 10, 14, 15, 16, 17, 19, 20, 33, 37, 43, 47, 59, 61)",[0.13745155],0.1374515494805424,"('X1', 'X2', 'X4', 'X11', 'X15', 'X16', 'X17', 'X18', 'X20', 'X21', 'X34', 'X38', 'X44', 'X48', 'X60', 'X62')",,0.0,
17,"(0, 1, 3, 10, 14, 15, 16, 17, 19, 20, 33, 34, 37, 43, 47, 59, 61)",[0.20316173],0.20316173336097887,"('X1', 'X2', 'X4', 'X11', 'X15', 'X16', 'X17', 'X18', 'X20', 'X21', 'X34', 'X35', 'X38', 'X44', 'X48', 'X60', 'X62')",,0.0,
18,"(0, 1, 3, 10, 11, 14, 15, 16, 17, 19, 20, 33, 34, 37, 43, 47, 59, 61)",[0.122697],0.12269699937537315,"('X1', 'X2', 'X4', 'X11', 'X12', 'X15', 'X16', 'X17', 'X18', 'X20', 'X21', 'X34', 'X35', 'X38', 'X44', 'X48', 'X60', 'X62')",,0.0,
19,"(0, 1, 3, 10, 11, 14, 15, 16, 17, 19, 20, 27, 33, 34, 37, 43, 47, 59, 61)",[0.14516428],0.14516427757717554,"('X1', 'X2', 'X4', 'X11', 'X12', 'X15', 'X16', 'X17', 'X18', 'X20', 'X21', 'X28', 'X34', 'X35', 'X38', 'X44', 'X48', 'X60', 'X62')",,0.0,
20,"(0, 1, 3, 10, 11, 14, 15, 16, 17, 19, 20, 27, 33, 34, 36, 37, 43, 47, 59, 61)",[0.18342778],0.18342777995115167,"('X1', 'X2', 'X4', 'X11', 'X12', 'X15', 'X16', 'X17', 'X18', 'X20', 'X21', 'X28', 'X34', 'X35', 'X37', 'X38', 'X44', 'X48', 'X60', 'X62')",,0.0,
