,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(8,)",[0.17644566],0.17644566073021506,"('X9',)",,0.0,
2,"(8, 18)",[0.69735823],0.6973582254225892,"('X9', 'X19')",,0.0,
3,"(8, 18, 37)",[0.77410165],0.7741016521670495,"('X9', 'X19', 'X38')",,0.0,
4,"(8, 18, 36, 37)",[0.76992807],0.7699280651539806,"('X9', 'X19', 'X37', 'X38')",,0.0,
5,"(8, 18, 23, 36, 37)",[0.781786],0.7817859951706732,"('X9', 'X19', 'X24', 'X37', 'X38')",,0.0,
6,"(8, 18, 23, 29, 36, 37)",[0.76233684],0.7623368356260649,"('X9', 'X19', 'X24', 'X30', 'X37', 'X38')",,0.0,
7,"(8, 18, 23, 29, 36, 37, 47)",[0.75713334],0.7571333382441162,"('X9', 'X19', 'X24', 'X30', 'X37', 'X38', 'X48')",,0.0,
8,"(8, 18, 23, 29, 36, 37, 44, 47)",[0.75558636],0.755586364769555,"('X9', 'X19', 'X24', 'X30', 'X37', 'X38', 'X45', 'X48')",,0.0,
9,"(8, 18, 23, 29, 36, 37, 44, 47, 56)",[0.75995908],0.7599590767019418,"('X9', 'X19', 'X24', 'X30', 'X37', 'X38', 'X45', 'X48', 'X57')",,0.0,
10,"(8, 18, 23, 29, 35, 36, 37, 44, 47, 56)",[0.75433571],0.7543357138141054,"('X9', 'X19', 'X24', 'X30', 'X36', 'X37', 'X38', 'X45', 'X48', 'X57')",,0.0,
11,"(8, 18, 23, 29, 35, 36, 37, 43, 44, 47, 56)",[0.7357664],0.7357664046559913,"('X9', 'X19', 'X24', 'X30', 'X36', 'X37', 'X38', 'X44', 'X45', 'X48', 'X57')",,0.0,
12,"(1, 8, 18, 23, 29, 35, 36, 37, 43, 44, 47, 56)",[0.73899152],0.7389915152861639,"('X2', 'X9', 'X19', 'X24', 'X30', 'X36', 'X37', 'X38', 'X44', 'X45', 'X48', 'X57')",,0.0,
13,"(1, 8, 18, 19, 23, 29, 35, 36, 37, 43, 44, 47, 56)",[0.67979694],0.6797969405093877,"('X2', 'X9', 'X19', 'X20', 'X24', 'X30', 'X36', 'X37', 'X38', 'X44', 'X45', 'X48', 'X57')",,0.0,
14,"(1, 8, 18, 19, 21, 23, 29, 35, 36, 37, 43, 44, 47, 56)",[0.69320114],0.6932011429571019,"('X2', 'X9', 'X19', 'X20', 'X22', 'X24', 'X30', 'X36', 'X37', 'X38', 'X44', 'X45', 'X48', 'X57')",,0.0,
15,"(1, 8, 18, 19, 21, 23, 29, 35, 36, 37, 43, 44, 47, 55, 56)",[0.70615903],0.7061590273632752,"('X2', 'X9', 'X19', 'X20', 'X22', 'X24', 'X30', 'X36', 'X37', 'X38', 'X44', 'X45', 'X48', 'X56', 'X57')",,0.0,
16,"(1, 8, 17, 18, 19, 21, 23, 29, 35, 36, 37, 43, 44, 47, 55, 56)",[0.70150709],0.7015070879865608,"('X2', 'X9', 'X18', 'X19', 'X20', 'X22', 'X24', 'X30', 'X36', 'X37', 'X38', 'X44', 'X45', 'X48', 'X56', 'X57')",,0.0,
17,"(1, 8, 17, 18, 19, 21, 23, 24, 29, 35, 36, 37, 43, 44, 47, 55, 56)",[0.66712543],0.6671254316777571,"('X2', 'X9', 'X18', 'X19', 'X20', 'X22', 'X24', 'X25', 'X30', 'X36', 'X37', 'X38', 'X44', 'X45', 'X48', 'X56', 'X57')",,0.0,
