,name,imp
0,X1,0.017241016713455695
1,X2,0.002758841134973527
2,X3,0.008206950271761852
3,X4,0.03596768302365814
4,X5,0.01296820423493668
5,X6,0.005402776450108968
6,X7,0.002410801727309347
7,X8,0.015772415092273572
8,X9,0.07526853634346517
9,X10,0.004976246987845518
10,X11,0.0028336377769965313
11,X12,0.010687898090527457
12,X13,0.009660861909051199
13,X14,0.008485785541273813
14,X15,0.01461073448873516
15,X16,0.007920281167214981
16,X17,0.0017644357128563065
17,X18,0.006547332209414097
18,X19,0.015155795599501478
19,X20,0.007868615787619583
20,X21,0.007990629586136883
21,X22,0.010230649630431077
22,X23,0.014994451563992721
23,X24,0.003621269926719023
24,X25,0.0008241443437668008
25,X26,0.018621225603363913
26,X27,0.00508589769341696
27,X28,0.003115054758044093
28,X29,0.007457563603909192
29,X30,0.006070900815713637
30,X31,0.0027824693133662705
31,X32,0.02427807937148912
32,X33,0.00797411512964305
33,X34,0.014513955055678214
34,X35,0.0028683074434270152
35,X36,0.003433047726004731
36,X37,0.0019529108755846304
37,X38,0.0048453170992658785
38,X39,0.0028957178774529444
39,X40,0.007436163311158365
40,X41,0.3527040119665006
41,X42,0.005164324207232297
42,X43,0.021344265256040433
43,X44,0.011159682818619844
44,X45,0.00953570421135491
45,X46,0.0035363630547521245
46,X47,0.015160071998332261
47,X48,0.012737710890995178
48,X49,0.0075828504897959385
49,X50,0.009077447945873502
50,X51,0.0034209526460321476
51,X52,0.02761581351688555
52,X53,0.03597234884631687
53,X54,0.008325097059523827
54,X55,0.005608940578537888
55,X56,0.009585145247506368
56,X57,0.00064671521232693
57,X58,0.00529138679027912
58,X59,0.0026187108076726655
59,X60,0.00589392433141731
60,X61,0.00355340386918918
61,X62,0.010019946199392216
62,X63,0.015944461063879256
