,name,imp
0,X1,0.012314606772397877
1,X2,0.004665306509795395
2,X3,0.006013818546214617
3,X4,0.011371137565078975
4,X5,0.14944443826426476
5,X6,0.01408182215879684
6,X7,0.014107475447396134
7,X8,0.1108674550736753
8,X9,0.004052803720961011
9,X10,0.042281900163602205
10,X11,0.0030830840047291644
11,X12,0.002253411772971321
12,X13,0.0007541087593836178
13,X14,0.008008504063607931
14,X15,0.0019701408532180934
15,X16,0.002897787640946922
16,X17,0.0028293707203209135
17,X18,0.004179922304623282
18,X19,0.0007443745492997601
19,X20,0.008426959173364936
20,X21,0.0005862335989224173
21,X22,0.00454787493423994
22,X23,0.04823292851464796
23,X24,0.005581333431547587
24,X25,0.0019280849762348875
25,X26,0.03774473057271779
26,X27,0.01040296045576493
27,X28,0.0020092670944275547
28,X29,0.05144928346584508
29,X30,0.004771293614967494
30,X31,0.004839177819485469
31,X32,0.08873902136046409
32,X33,0.0018439454288730578
33,X34,0.004664614467395141
34,X35,0.002135705688805999
35,X36,0.002793318063478991
36,X37,0.0006275384375965001
37,X38,0.0027305967608115714
38,X39,0.0033610040997609195
39,X40,0.011654705280922275
40,X41,0.047030210534176366
41,X42,0.002668165602641648
42,X43,0.020847672686449433
43,X44,0.004049365031032572
44,X45,0.021518965996306108
45,X46,0.0028010801793440223
46,X47,0.016112846786675857
47,X48,0.007208138496658722
48,X49,0.0037092676740136275
49,X50,0.04313356867487763
50,X51,0.004504955603163694
51,X52,0.006700383892037588
52,X53,0.021756023003452425
53,X54,0.006901147748105292
54,X55,0.04827320953694736
55,X56,0.0019911908750078378
56,X57,0.004020881161915887
57,X58,0.011104736934787203
58,X59,0.0012022394147246929
59,X60,0.001138943336205141
60,X61,0.011641494921384063
61,X62,0.007118489100867571
62,X63,0.009574976677666651
