,name,imp
0,X1,0.04547114697549171
1,X2,0.005897766887452205
2,X3,0.005948806488294112
3,X4,0.010602016197163434
4,X5,0.019867880697155033
5,X6,0.00644944336289215
6,X7,0.014228920548114674
7,X8,0.025844246798587024
8,X9,0.06437531457313307
9,X10,0.008342981854125357
10,X11,0.007920397004947238
11,X12,0.0064843879621473985
12,X13,0.007435742216763485
13,X14,0.0037722336646043983
14,X15,0.0027726647873986218
15,X16,0.006869257662658352
16,X17,0.004065121623819344
17,X18,0.008614994192236667
18,X19,0.0063363823633784495
19,X20,0.006227201925185576
20,X21,0.004203177696584596
21,X22,0.002352807475937694
22,X23,0.010449008410939112
23,X24,0.00365630723448265
24,X25,0.005710904949803245
25,X26,0.014627978801180492
26,X27,0.0024514130372193118
27,X28,0.005858871734051996
28,X29,0.013711651752551495
29,X30,0.0029769204624943597
30,X31,0.005045390021838112
31,X32,0.031136242044321246
32,X33,0.009413242387518384
33,X34,0.00833581403116825
34,X35,0.006023674943327053
35,X36,0.003453658489016827
36,X37,0.003482888668388864
37,X38,0.0027865087910678987
38,X39,0.0030609191293566058
39,X40,0.0022407707785003133
40,X41,0.18568033819781643
41,X42,0.0017424715772655893
42,X43,0.015678239120491242
43,X44,0.011966280618906927
44,X45,0.009583236118807046
45,X46,0.002036354164824018
46,X47,0.003062693425853189
47,X48,0.01529798983641682
48,X49,0.0061986801086782554
49,X50,0.05162552340965395
50,X51,0.002291069536619138
51,X52,0.015145853750152044
52,X53,0.16223289846580222
53,X54,0.005971118551175929
54,X55,0.01115269068136249
55,X56,0.0045069843094449205
56,X57,0.005571476012060973
57,X58,0.02491282345999775
58,X59,0.004506206221009563
59,X60,0.0115597144480292
60,X61,0.015642234995590577
61,X62,0.012230308914055691
62,X63,0.012899755450689127
