,name,imp
0,X1,0.004924117209922441
1,X2,0.009113954662301419
2,X3,0.007770028983858788
3,X4,0.007644550240987918
4,X5,0.018671226670260083
5,X6,0.0025694128910067875
6,X7,0.0014264869744176915
7,X8,0.10759938830565889
8,X9,0.029368867785642093
9,X10,0.027609340753382294
10,X11,0.004282716753795333
11,X12,0.0018078804297459517
12,X13,0.003644934401485603
13,X14,0.0032083354597142242
14,X15,0.0037872501483513935
15,X16,0.0023093118204810495
16,X17,0.0041872943986082855
17,X18,0.002305960733145334
18,X19,0.0018507565060615029
19,X20,0.0008628246002997349
20,X21,0.003015375984845278
21,X22,0.002561725402931183
22,X23,0.004359531472907863
23,X24,0.0021974332816518086
24,X25,0.004920253201856828
25,X26,0.010442418086731154
26,X27,0.008804822498374285
27,X28,0.01099053266115293
28,X29,0.006669356887882257
29,X30,0.001798884760781082
30,X31,0.013022136431558782
31,X32,0.015380908748870352
32,X33,0.01485518864247373
33,X34,0.025211311826588527
34,X35,0.004764594626213991
35,X36,0.003935564112605602
36,X37,0.002490178943595459
37,X38,0.0007880249454604859
38,X39,0.004750389099603028
39,X40,0.006446319713039358
40,X41,0.2208726878013977
41,X42,0.017721957299316457
42,X43,0.007898017078361809
43,X44,0.002235995582777318
44,X45,0.007097604387492405
45,X46,0.021108133638452733
46,X47,0.01539591514568296
47,X48,0.007410814337435884
48,X49,0.01486644950061721
49,X50,0.014848298496025722
50,X51,0.0071699831929547125
51,X52,0.0074493189213533755
52,X53,0.17410697855841406
53,X54,0.021215408731867766
54,X55,0.002283802779163444
55,X56,0.0014984012311277013
56,X57,0.005084366049093181
57,X58,0.002696977693811063
58,X59,0.005341100088090041
59,X60,0.013503788382718046
60,X61,0.006947218504546345
61,X62,0.018737573130563314
62,X63,0.012159618410485809
