,name,imp
0,X1,0.012884303132467703
1,X2,0.0031784186529514196
2,X3,0.0005196669028936828
3,X4,0.012460079640460182
4,X5,0.01842920524271886
5,X6,0.0035894177783336507
6,X7,0.03005073238901254
7,X8,0.15777557693834612
8,X9,0.03970519414222495
9,X10,0.07478608189396517
10,X11,0.0012488499049974054
11,X12,0.00466745507410342
12,X13,0.010528763600741856
13,X14,0.007457625595973139
14,X15,0.005225560715272953
15,X16,0.0015527949434999836
16,X17,0.009904047392012505
17,X18,0.0014592502177806694
18,X19,0.02043293142586276
19,X20,0.002635971313221874
20,X21,0.001330911410172056
21,X22,0.009138127195819624
22,X23,0.007279754872556407
23,X24,0.007254197378600685
24,X25,0.003442545186289649
25,X26,0.0038720686579301546
26,X27,0.011449583707467705
27,X28,0.006692604348603045
28,X29,0.00795779828367733
29,X30,0.005789578457550758
30,X31,0.00711322715473512
31,X32,0.023197046135775196
32,X33,0.012562287291281348
33,X34,0.00845111736775126
34,X35,0.009987125346912646
35,X36,0.009271233432441144
36,X37,0.005987238916829765
37,X38,0.004297466425164884
38,X39,0.008256348643888902
39,X40,0.03371784862874872
40,X41,0.05532175014745033
41,X42,0.017435682208553308
42,X43,0.02886109724529936
43,X44,0.007488789844041392
44,X45,0.013101458609338049
45,X46,0.01813375390454564
46,X47,0.0040801951128553
47,X48,0.009241179123984275
48,X49,0.004171513100484233
49,X50,0.009259016737341043
50,X51,0.01406713488945897
51,X52,0.007839917996032831
52,X53,0.11582384618424961
53,X54,0.008452637670327893
54,X55,0.008402145466760989
55,X56,0.013910491226846929
56,X57,0.004512513886678141
57,X58,0.008482357656868498
58,X59,0.014451040003528322
59,X60,0.007109089858215029
60,X61,0.003476342730435385
61,X62,0.00738053542435676
62,X63,0.013457475233310421
