TN,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,
2.46,0.99268,0.80043,0.58714,0.44603,0.59236,0.82432,0.83896,0.92073,0.79932,0.76115,0.88447,0.73763,0.76046,0.68117,0.70815,0.60956,0.8458,0.6451,0.71819,0.54757,0.60517,0.46558,0.73885,0.54638,0.68956,0.49764,0.53451,0.5579,0.19688,0.30252,0.09,0.3893,0.15218,0.1438,0.7586,0.78008,0.66421,0.7221,0.52389,0.59878,0.42862,0.62312,0.2044,0.21736,0.268,0.54806,0.09759,0.18988,0.11211,0.16391,0.58789,0.2519,0.21531,0.11573,0.76867,0.62258,0.78813,0.55872,0.68583,0.69001,0.72778,0.74727,0.20529,1
2.68,0.32504,0.22318,0.13959,0.04353,0.8535,0.94764,0.96862,0.89329,0.87655,0.84359,0.26708,0.20806,0.14612,0.17644,0.12301,0.09126,0.16777,0.11091,0.09327,0.08667,0.06724,0.04611,0.79471,0.84221,0.88446,0.84876,0.67647,0.57216,0.15194,0.08915,0.0279,0.10114,0.08973,0.1368,0.21311,0.17339,0.12903,0.16323,0.84523,0.76269,0.23872,0.72189,0.14916,0.26815,0.0898,0.63306,0.03287,0.24107,0.01147,0.05787,0.70383,0.35606,0.11717,0.01432,0.81972,0.87966,0.92764,0.87764,0.799,0.70229,0.96237,0.77687,0.19556,1
4.89,0.81991,0.69206,0.56345,0.3059,0.53822,0.6723,0.90823,0.69817,0.87486,0.87804,0.74845,0.65914,0.56871,0.62015,0.54607,0.49634,0.65902,0.5428,0.48077,0.47803,0.41958,0.35222,0.63768,0.39431,0.7766,0.3626,0.63587,0.72409,0.28267,0.4452,0.05944,0.52607,0.10557,0.07473,0.67013,0.61505,0.55238,0.59954,0.37968,0.69421,0.47808,0.75343,0.14761,0.12188,0.41439,0.67931,0.08014,0.10245,0.11175,0.13889,0.7067,0.13943,0.17984,0.12619,0.67396,0.47134,0.85341,0.421,0.76851,0.82235,0.75292,0.85481,0.12932,1
16.9,0.27818,0.27575,0.23266,1,0.59554,0.70777,0,0.70732,0,0,0.27764,0.25,1,0.25166,0.92041,0.8291,0.17217,0.14115,0.63045,0.13798,0.6108,0.46709,0.39898,0.36809,0,0.50889,0,0,0.51094,0.47281,1,0.37865,1,1,0.2586,0.76263,0.67066,0.60336,0.43306,0,0.23527,0,1,1,0.5461,0,1,1,1,1,0,1,1,1,0.43811,0.44375,0,0.56979,0,0,0,0,1,1
3.33,0.47291,0.43133,0.48562,0.3226,0.55732,0.42736,0.75133,0.2378,0.7221,0.81028,0.45031,0.48226,0.45519,0.46168,0.44235,0.46879,0.32255,0.33524,0.33348,0.31255,0.30977,0.32251,0.49241,0.10822,0.46918,0.05189,0.40919,0.60325,0.41689,0.8115,0.19906,0.92024,0.22934,0.12234,0.46526,0.45075,0.45806,0.46123,0.08223,0.43406,0.70032,0.54461,0.25333,0.11176,0.74817,0.49923,0.23008,0.09625,0.31551,0.32181,0.49077,0.08046,0.34389,0.33695,0.53257,0.14251,0.59681,0.06538,0.56835,0.72841,0.45519,0.73085,0.17322,0
13.4,0.46999,0.35837,0.39848,0.4353,0.76752,0.59797,0.63825,0.34451,0.57723,0.6454,0.40683,0.42581,0.55676,0.38079,0.50072,0.50581,0.28508,0.28598,0.41356,0.2397,0.34467,0.33891,0.73758,0.26816,0.35004,0.12335,0.25708,0.37866,0.19792,0.58776,0.28973,0.81778,0.37329,0.25804,0.4033,0.494,0.46359,0.46529,0.20134,0.29561,0.75558,0.3678,0.42141,0.27236,0.47738,0.31349,0.2866,0.23612,0.35619,0.44829,0.32378,0.24494,0.49453,0.34807,0.76751,0.33414,0.47421,0.15243,0.3968,0.51806,0.36223,0.55732,0.34029,0
4.95,0.40996,0.3133,0.31303,0.25045,0.7707,0.69932,0.79751,0.52439,0.7283,0.76341,0.35528,0.34946,0.36611,0.31315,0.33092,0.32889,0.23903,0.21932,0.25495,0.18441,0.21131,0.19591,0.71435,0.3776,0.5127,0.28643,0.39522,0.48488,0.21712,0.46269,0.17273,0.61138,0.23977,0.18378,0.33739,0.35115,0.32442,0.33969,0.33553,0.44392,0.58509,0.5011,0.28776,0.22273,0.39517,0.43797,0.17853,0.19286,0.22156,0.28462,0.45901,0.22351,0.33125,0.2224,0.74602,0.45381,0.63794,0.33908,0.55404,0.62411,0.53864,0.67093,0.25065,0
1.81,0.36896,0.37124,0.33756,0.14073,0.50955,0.60304,0.88988,0.60061,0.86246,0.88368,0.37143,0.35,0.25095,0.35241,0.26821,0.26216,0.24841,0.21799,0.16716,0.21535,0.1667,0.15215,0.36961,0.24884,0.66963,0.35039,0.6273,0.7204,0.54189,0.61195,0.09779,0.53933,0.1091,0.07601,0.35709,0.29371,0.29339,0.30689,0.29569,0.64484,0.34213,0.70146,0.12187,0.09485,0.6631,0.6729,0.15098,0.10165,0.18085,0.14442,0.67198,0.11171,0.15641,0.22458,0.40781,0.31209,0.77244,0.40807,0.76189,0.81965,0.68708,0.78707,0.10271,0
1.23,0.44363,0.38627,0.37394,0.10256,0.62739,0.61655,0.95796,0.5122,0.90643,0.9441,0.4118,0.40054,0.24389,0.37938,0.24409,0.25312,0.28745,0.26291,0.1651,0.23834,0.14728,0.1453,0.55329,0.28261,0.85662,0.26431,0.73245,0.88586,0.35895,0.5701,0.03547,0.63737,0.07002,0.02658,0.39577,0.29407,0.29124,0.31808,0.27417,0.78392,0.5172,0.87808,0.1035,0.05423,0.5431,0.80591,0.06764,0.04082,0.11405,0.12088,0.82018,0.05932,0.15307,0.13799,0.59263,0.35045,0.90914,0.31469,0.83882,0.93192,0.76966,0.94692,0.07268,0
3.5,0.54173,0.47747,0.43993,0.14252,0.57006,0.59797,0.95796,0.53354,0.91657,0.95031,0.50621,0.47849,0.31668,0.45648,0.31741,0.31554,0.37867,0.3376,0.2258,0.30772,0.20356,0.19142,0.54491,0.28342,0.86244,0.27139,0.7405,0.89108,0.36678,0.56912,0.03385,0.62899,0.06736,0.02525,0.47815,0.37368,0.3619,0.39359,0.27787,0.79105,0.50622,0.88361,0.09998,0.05312,0.54621,0.81272,0.06716,0.04073,0.11234,0.11697,0.82672,0.05938,0.14832,0.13735,0.58442,0.35136,0.91304,0.32253,0.84435,0.93519,0.77555,0.94759,0.07039,0
