TN,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,
1.92,0.46719,0.40046,0.29909,0.14983,0.77536,0.83367,0.91288,0.72861,0.86105,0.82078,0.43303,0.37058,0.26142,0.34198,0.24535,0.23772,0.27177,0.20475,0.17961,0.18378,0.15715,0.14053,0.72489,0.84022,0.6077,0.52192,0.56603,0.47121,0.19,0.08087,0.1065,0.31182,0.12461,0.16289,0.38112,0.32582,0.30237,0.35167,0.709,0.57733,0.48992,0.60952,0.16508,0.27752,0.10721,0.57913,0.08431,0.23865,0.11811,0.13748,0.59663,0.33724,0.15323,0.09038,0.76508,0.88435,0.74328,0.61943,0.72137,0.62327,0.65555,0.67708,0.22872,1
3.84,0.05249,0.07395,0.08676,0.06456,0.67029,0.57315,0.8355,0.43068,0.79743,0.81426,0.06422,0.05897,0.05656,0.0692,0.06332,0.08694,0.0234,0.02016,0.02072,0.02529,0.02804,0.03616,0.21373,0.37441,0.24911,0.41517,0.35101,0.32483,0.69453,0.43601,0.35755,0.41066,0.25556,0.26492,0.06426,0.05685,0.08091,0.07022,0.41405,0.29094,0.32584,0.32276,0.22141,0.28654,0.57704,0.36763,0.41058,0.30488,0.44243,0.27106,0.33038,0.32378,0.22118,0.45862,0.25149,0.46534,0.38274,0.51419,0.51774,0.4718,0.34545,0.4018,0.27178,1
3.82,0.08661,0.08191,0.06164,0.11385,0.73913,0.66934,0.79545,0.51622,0.74554,0.75301,0.0844,0.06145,0.10934,0.06055,0.10566,0.1197,0.03299,0.02096,0.04548,0.02059,0.0479,0.0444,0.39194,0.67266,0.20316,0.59823,0.24869,0.17927,0.48949,0.18379,0.42002,0.24937,0.35936,0.44253,0.06867,0.10295,0.11004,0.10269,0.67421,0.2131,0.30256,0.21581,0.33863,0.50094,0.31646,0.22763,0.43366,0.50143,0.44154,0.33554,0.22188,0.55047,0.30257,0.42552,0.44344,0.74926,0.32274,0.68944,0.3965,0.28853,0.30499,0.28944,0.45715,1
5.31,0.53806,0.49602,0.4532,0.21193,0.66667,0.67134,0.87392,0.57817,0.83761,0.8253,0.51743,0.4879,0.33682,0.46828,0.32845,0.34733,0.35287,0.31389,0.25486,0.29735,0.23572,0.24476,0.64264,0.55474,0.53007,0.31553,0.51833,0.53236,0.25577,0.27081,0.14067,0.51762,0.14715,0.13218,0.49076,0.41733,0.42064,0.4684,0.4406,0.5147,0.58402,0.59884,0.17549,0.19854,0.26116,0.58075,0.12821,0.16618,0.19616,0.1931,0.57023,0.22581,0.19646,0.17024,0.68972,0.64435,0.67828,0.40733,0.68112,0.67882,0.53569,0.69885,0.19471,1
2.3,0.27297,0.32537,0.29909,0.18827,0.47826,0.53707,0.79058,0.53392,0.78069,0.78163,0.30214,0.27871,0.23209,0.30392,0.2501,0.27047,0.15888,0.13825,0.13877,0.15902,0.15848,0.16332,0.28054,0.36332,0.30326,0.35403,0.39424,0.39109,0.61315,0.44777,0.29786,0.47439,0.22196,0.21257,0.29518,0.27868,0.30648,0.31188,0.3706,0.34011,0.39593,0.39051,0.19896,0.23711,0.54581,0.42925,0.33978,0.24537,0.38835,0.25219,0.39014,0.2677,0.21096,0.39765,0.32523,0.4535,0.44858,0.44968,0.56367,0.5439,0.38056,0.47971,0.23087,0
2.67,0.72178,0.86462,0.66895,0.22819,0,0.57315,0.93182,0.9764,1,0.90361,0.80122,0.69212,0.4093,0.76413,0.46973,0.44057,0.6826,0.54462,0.34334,0.62846,0.39003,0.35629,0.27598,0.44671,0.67042,0.44825,0.82809,0.74271,0.61853,0.36431,0.08322,0.37845,0.03711,0.05666,0.75301,0.5896,0.60782,0.6691,0.4701,0.75092,0.33302,0.79583,0.02912,0.11075,0.49451,0.88515,0.1376,0.12899,0.16381,0.07115,0.82045,0.17473,0.03914,0.19859,0.32026,0.54004,0.79175,0.54776,0.90532,0.84275,0.69708,0.73038,0.0529,0
2.5,0.05381,0.1058,0.02626,0.0621,0.57246,0.68136,0.83874,0.66962,0.81585,0.79016,0.08196,0.02669,0.05488,0.05479,0.07242,0.06258,0.0297,0.00821,0.02026,0.01527,0.03383,0.0202,0.06669,0.75196,0.25722,1,0.41229,0.20669,0.89637,0.13242,0.34776,0,0.20928,0.39958,0.05462,0.06516,0.07062,0.06173,0.96288,0.32846,0,0.26201,0.16074,0.47621,0.47736,0.34502,0.43679,0.55214,0.36037,0.15891,0.31835,0.60933,0.09825,0.41738,0.08115,0.81511,0.39293,1,0.58202,0.32603,0.47289,0.26845,0.30505,0
1.66,0.32021,0.45392,0.38699,0.17546,0.19928,0.45491,0.82413,0.64012,0.85826,0.83333,0.39327,0.34885,0.23628,0.41349,0.28453,0.29189,0.22504,0.18902,0.14814,0.24565,0.19268,0.19017,0.09171,0.26996,0.37711,0.3884,0.5593,0.53138,0.85958,0.55581,0.2337,0.43787,0.12763,0.13263,0.38594,0.32132,0.3627,0.37039,0.34615,0.46555,0.28896,0.51055,0.08908,0.14793,0.73307,0.60608,0.32238,0.18263,0.35309,0.16195,0.53277,0.19563,0.10398,0.40509,0.11095,0.3497,0.53086,0.48634,0.71584,0.67796,0.47323,0.54347,0.112,0
0.88,0.30052,0.40273,0.38128,0.19763,0.30797,0.43487,0.79167,0.52212,0.80804,0.80823,0.35657,0.33644,0.24885,0.38466,0.28453,0.30869,0.19732,0.17887,0.15422,0.22297,0.19149,0.20336,0.15533,0.24034,0.31696,0.30483,0.45541,0.47545,0.77068,0.5939,0.28464,0.5301,0.18169,0.16058,0.35984,0.31612,0.36099,0.36454,0.27966,0.38018,0.37572,0.44508,0.14651,0.16795,0.71526,0.51156,0.35496,0.1888,0.41075,0.22599,0.44922,0.19656,0.17185,0.44242,0.18521,0.31511,0.46447,0.39531,0.62404,0.62726,0.39131,0.52014,0.15944,0
1.55,0.21654,0.28555,0.23744,0.13751,0.44928,0.55912,0.82305,0.58997,0.81864,0.80622,0.25443,0.2185,0.17093,0.2526,0.19549,0.20454,0.1244,0.09927,0.09343,0.12208,0.11536,0.11199,0.18622,0.38675,0.32972,0.45056,0.45949,0.40927,0.72979,0.4232,0.27291,0.37626,0.17926,0.20017,0.24217,0.21594,0.24066,0.24312,0.4421,0.38841,0.2918,0.41576,0.14812,0.23007,0.58558,0.47982,0.33667,0.25573,0.35869,0.19724,0.43282,0.28087,0.14818,0.38963,0.22048,0.47838,0.47901,0.55007,0.62789,0.56261,0.43778,0.47339,0.19373,0
