TN,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,
1.52,0.18246,0.18993,0.15032,0.16594,0.64124,0.78473,0.78179,0.77973,0.7006,0.55871,0.1826,0.16165,0.16987,0.16392,0.17441,0.15856,0.0925,0.07245,0.07486,0.07116,0.07435,0.05554,0.27922,0.40267,0.28353,0.50822,0.31599,0.34884,0.6395,0.41668,0.47346,0.35368,0.40645,0.40284,0.16837,0.17344,0.16428,0.16702,0.45354,0.31301,0.31235,0.32145,0.40213,0.42307,0.50895,0.33681,0.51513,0.48644,0.45321,0.42962,0.32627,0.48932,0.43138,0.4952,0.31511,0.48807,0.38534,0.5816,0.44838,0.45953,0.39244,0.45603,0.38416,1
2.6,0.25711,0.19876,0.10968,0.10661,0.79096,0.94243,0.92175,0.92203,0.81536,0.63613,0.21974,0.16165,0.14928,0.14409,0.13916,0.10718,0.11817,0.07207,0.06573,0.05917,0.05537,0.03358,0.58241,0.81533,0.64243,0.81051,0.5289,0.43222,0.33008,0.09834,0.16532,0.11678,0.21983,0.32191,0.17122,0.16105,0.12716,0.1468,0.81301,0.60531,0.26315,0.55143,0.30657,0.53979,0.13144,0.49738,0.18134,0.54729,0.13398,0.18241,0.55414,0.69745,0.2647,0.15227,0.62356,0.86196,0.74001,0.85192,0.6639,0.54713,0.76419,0.66534,0.37441,1
4.84,0.29502,0.22173,0.14323,0.12446,0.80791,0.9174,0.91798,0.87135,0.80587,0.65548,0.24924,0.19674,0.17296,0.17328,0.15881,0.13177,0.13867,0.09319,0.07955,0.0755,0.0657,0.04397,0.62938,0.72576,0.62894,0.66874,0.50141,0.47437,0.28808,0.15395,0.17351,0.21883,0.2393,0.28594,0.2025,0.18459,0.15141,0.17311,0.69828,0.58239,0.37925,0.5667,0.33384,0.46836,0.15715,0.4998,0.17674,0.45123,0.16081,0.23636,0.5517,0.58559,0.32381,0.16838,0.66853,0.78916,0.72864,0.73085,0.63891,0.58887,0.69973,0.72753,0.36295,1
5.39,0.28199,0.21201,0.09355,0.14858,0.80791,1,0.87208,1,0.75324,0.49161,0.23805,0.15998,0.18634,0.14034,0.17098,0.12431,0.13081,0.06998,0.08752,0.05601,0.07266,0.0391,0.62363,1,0.50447,1,0.40158,0.23244,0.29315,0,0.25901,0,0.32038,0.54407,0.17435,0.19153,0.1434,0.16434,1,0.4651,0.18105,0.37445,0.4031,0.81449,0.03939,0.33576,0.24767,0.83467,0.15516,0.22659,0.3942,1,0.31366,0.16428,0.66307,1,0.61726,1,0.54144,0.32461,0.71169,0.46614,0.54398,1
5.2,0.84242,0.71731,0.58903,0.46406,0.52825,0.63079,0.73589,0.61793,0.68248,0.63871,0.76958,0.67836,0.5731,0.64184,0.55351,0.51713,0.67111,0.55569,0.44754,0.48999,0.39548,0.32945,0.50934,0.336,0.38844,0.27141,0.33919,0.5179,0.39831,0.4876,0.35907,0.60288,0.3813,0.25172,0.68999,0.61249,0.5639,0.60598,0.30487,0.37455,0.65755,0.46509,0.43093,0.26285,0.46315,0.42431,0.35732,0.24285,0.40824,0.49869,0.42226,0.26754,0.54123,0.40998,0.55215,0.41713,0.50155,0.3338,0.47455,0.63031,0.3802,0.73178,0.31967,1
4.12,0.26303,0.27473,0.22,0.18717,0.56215,0.73467,0.79985,0.75634,0.74547,0.64129,0.26602,0.23517,0.2083,0.24027,0.2181,0.20055,0.14794,0.11734,0.09979,0.11693,0.10041,0.07776,0.24142,0.33143,0.34754,0.43795,0.38862,0.47454,0.68347,0.49274,0.4005,0.42055,0.3323,0.2858,0.24573,0.22498,0.21658,0.22359,0.38277,0.38637,0.35177,0.421,0.32932,0.29012,0.58659,0.43415,0.46756,0.34822,0.43651,0.39003,0.41666,0.35059,0.38733,0.4885,0.2743,0.41215,0.45765,0.51175,0.52795,0.58904,0.42222,0.57655,0.27936,0
12.1,0.43128,0.41343,0.41161,0.34732,0.51977,0.54068,0.65688,0.48343,0.59448,0.59613,0.41811,0.41855,0.37097,0.41018,0.37067,0.37431,0.27247,0.25867,0.22018,0.247,0.2112,0.1961,0.3176,0.14947,0.21189,0.14168,0.23839,0.46683,0.5962,0.73264,0.56962,0.77407,0.50265,0.29215,0.41524,0.38132,0.38233,0.38972,0.14571,0.23316,0.70772,0.34665,0.49426,0.2134,0.73685,0.34322,0.58175,0.22194,0.63706,0.66568,0.30863,0.17877,0.65645,0.65132,0.35599,0.19906,0.2987,0.18169,0.35514,0.58153,0.20931,0.61057,0.32274,0
7.89,0.36374,0.38428,0.30839,0.23927,0.45198,0.66959,0.78254,0.73099,0.75928,0.67871,0.37233,0.3279,0.27454,0.33795,0.29048,0.26823,0.23045,0.18451,0.14647,0.18719,0.14963,0.11848,0.19499,0.26854,0.34931,0.38321,0.40685,0.53134,0.73938,0.56741,0.39863,0.4765,0.31564,0.24171,0.34414,0.30352,0.29439,0.30487,0.32381,0.39833,0.37685,0.45191,0.30461,0.22375,0.66817,0.46963,0.48105,0.28355,0.46437,0.39603,0.44291,0.27427,0.38352,0.52383,0.22341,0.34176,0.45958,0.45525,0.54686,0.64278,0.40535,0.61723,0.23297,0
3.78,0.31043,0.38869,0.33935,0.19489,0.31073,0.55319,0.81791,0.64717,0.84297,0.85935,0.35198,0.32916,0.22752,0.35778,0.26334,0.25608,0.20986,0.18106,0.11342,0.20321,0.12933,0.10994,0,0.11039,0.39505,0.29048,0.53207,0.76245,1,0.79511,0.35271,0.58007,0.21766,0.1012,0.34642,0.27081,0.28617,0.28983,0.19719,0.49565,0.36499,0.59767,0.17646,0.03133,0.95465,0.64374,0.51363,0.11387,0.52379,0.34926,0.58323,0.07671,0.30127,0.6256,0,0.14929,0.50849,0.35512,0.66674,0.83591,0.40557,0.74905,0.06588,0
2,0.25948,0.31802,0.18645,0.0685,0.41525,0.79599,0.98269,0.95322,1,0.89161,0.28942,0.2122,0.12286,0.23915,0.15663,0.11823,0.16252,0.10307,0.05054,0.11415,0.0585,0.03717,0.05837,0.44269,0.87774,0.74518,1,0.95337,0.91726,0.37743,0.04722,0.16204,0,0.01737,0.24403,0.17542,0.16407,0.17848,0.58848,1,0.02343,0.94859,0,0.10925,0.59473,1,0.24285,0.24002,0.16762,0.00932,0.99131,0.3064,0,0.29202,0.06857,0.52905,0.91918,0.79731,1,0.97011,0.89749,0.82315,0,0
6.9,0.20498,0.20141,0.14129,0.12253,0.65819,0.82603,0.86381,0.83236,0.78947,0.65677,0.19888,0.16374,0.1455,0.16355,0.15039,0.12983,0.10309,0.07393,0.06326,0.07054,0.06142,0.04313,0.32696,0.50049,0.4695,0.60444,0.47123,0.4758,0.58584,0.3246,0.28677,0.27012,0.26198,0.28477,0.17349,0.15907,0.14509,0.15414,0.55059,0.49198,0.26336,0.48485,0.28699,0.3656,0.41476,0.48284,0.34882,0.4215,0.299,0.2746,0.48985,0.47478,0.29824,0.34744,0.36587,0.58627,0.58369,0.67271,0.61059,0.59026,0.57082,0.6052,0.28947,0
6.04,0.26422,0.23852,0.24581,0.2383,0.68079,0.68586,0.72084,0.59844,0.61864,0.55613,0.24568,0.2523,0.24502,0.2399,0.23838,0.24088,0.135,0.128,0.1211,0.1169,0.11175,0.10037,0.40933,0.25511,0.22403,0.22731,0.22446,0.38963,0.4979,0.58438,0.55207,0.65782,0.52223,0.36148,0.24573,0.24133,0.23872,0.24257,0.24171,0.23011,0.65308,0.31216,0.53148,0.32082,0.58023,0.30131,0.54109,0.32344,0.56828,0.64022,0.28206,0.30121,0.65144,0.57152,0.45147,0.32631,0.31384,0.28351,0.33741,0.50326,0.24537,0.55148,0.40163,0
5.86,0.38744,0.36219,0.34065,0.3589,0.5791,0.63204,0.61099,0.5848,0.52373,0.42323,0.36979,0.35714,0.36651,0.34731,0.36006,0.35055,0.23058,0.20756,0.2117,0.19465,0.19953,0.17454,0.35735,0.23026,0.15144,0.22567,0.17288,0.31886,0.55273,0.61683,0.66599,0.65992,0.60214,0.43566,0.35694,0.36373,0.35196,0.35732,0.22804,0.16577,0.62718,0.23718,0.58954,0.37346,0.62846,0.24029,0.64851,0.39046,0.65314,0.7099,0.2153,0.34557,0.70516,0.65757,0.39775,0.29728,0.22041,0.28162,0.26888,0.42627,0.18706,0.44673,0.4594,0
3.92,0.09953,0.13781,0.07161,0.01688,0.61017,0.84981,0.96163,0.90253,0.91631,0.8,0.11699,0.08145,0.03981,0.09618,0.05959,0.0395,0.05357,0.03198,0.01351,0.03623,0.01768,0.01009,0.13299,0.5603,0.86627,0.84954,0.9418,0.82215,0.81752,0.27425,0.05207,0.09104,0.01918,0.0725,0.09699,0.06492,0.06094,0.06677,0.69971,0.95918,0,0.87335,0.03311,0.20985,0.4726,0.90866,0.22002,0.3369,0.13058,0,0.92159,0.42974,0.00642,0.2403,0.1541,0.64314,0.91121,0.88365,0.96607,0.88005,0.94056,0.7667,0.06181,0
4.05,0.17299,0.17049,0.13419,0.0849,0.68079,0.80601,0.90218,0.78558,0.82657,0.74323,0.16734,0.14787,0.10947,0.14633,0.11513,0.10525,0.08357,0.06496,0.04462,0.06175,0.04352,0.033,0.334,0.44841,0.57828,0.52987,0.56777,0.63027,0.5781,0.372,0.20603,0.33412,0.19409,0.17491,0.15273,0.12438,0.11894,0.1271,0.48767,0.60018,0.32418,0.6228,0.22949,0.24749,0.44843,0.6067,0.28105,0.28792,0.26623,0.23936,0.61337,0.34717,0.26721,0.31673,0.37329,0.53482,0.68477,0.60255,0.698,0.73013,0.617,0.75294,0.20186,0
1.59,0.02962,0,0.01161,0,0.88418,0.89237,0.94357,0.77973,0.81191,0.72516,0.00763,0.01796,0.00755,0.00299,0,0.00414,0.00365,0.00615,0.00228,0.00139,0,0.00097,0.65244,0.74327,0.79658,0.67348,0.62931,0.60954,0.26798,0.14261,0.0833,0.21518,0.15707,0.18798,0.00939,0.00297,0.00105,0.00537,0.70964,0.73635,0.38832,0.72495,0.2674,0.39193,0.1399,0.6335,0.09794,0.36388,0.09919,0.16413,0.70065,0.52203,0.26193,0.10959,0.69035,0.80371,0.86118,0.73506,0.74919,0.71244,0.81195,0.86501,0.28868,0
2.33,0.08886,0.11042,0.08452,0.00724,0.67232,0.81352,0.9699,0.80312,0.90682,0.85161,0.09664,0.08605,0.02986,0.09207,0.04368,0.0395,0.04353,0.03397,0.00962,0.03541,0.01209,0.00967,0.22689,0.44995,0.92944,0.61295,0.94749,1,0.70074,0.37054,0.0263,0.26313,0.01723,0,0.0913,0.05005,0.05441,0.05961,0.52851,0.99116,0.20364,1,0.05209,0.09758,0.49867,0.9898,0.16771,0.16521,0.15168,0.06099,1,0.24898,0.08145,0.23733,0.25847,0.53637,0.95427,0.68053,0.96947,1,0.85659,0.95652,0.02798,0
2.47,0,0.00883,0,0.00145,0.78531,0.8836,0.9225,0.83431,0.81795,0.69806,0,0,0,0,0.00406,0,0,0,0,0,0.00112,0,0.35081,0.71624,0.67514,0.87161,0.64866,0.52131,0.5598,0.16022,0.14619,0.0769,0.14628,0.24916,0,0,0,0,0.79112,0.69342,0.1038,0.61543,0.19161,0.43239,0.27585,0.60617,0.22744,0.50808,0.14592,0.10446,0.6431,0.62768,0.14637,0.20585,0.39091,0.78117,0.76703,0.9013,0.76462,0.63348,0.81999,0.64688,0.25507,0
7.11,0.15047,0.12102,0.08323,0.07718,0.78531,0.8811,0.89992,0.83041,0.79206,0.66194,0.1292,0.10693,0.09746,0.09581,0.09267,0.07901,0.06225,0.04385,0.03875,0.03686,0.03383,0.02307,0.50495,0.65556,0.56911,0.67204,0.49473,0.46544,0.40252,0.20192,0.21224,0.21629,0.24419,0.29331,0.10893,0.10183,0.08709,0.09667,0.6635,0.55131,0.31049,0.53099,0.31071,0.443,0.24244,0.49201,0.23897,0.45944,0.20402,0.23966,0.52745,0.56512,0.30184,0.22836,0.54781,0.72913,0.67662,0.73378,0.63273,0.58016,0.6621,0.66684,0.33762,0
7.64,0.33412,0.24647,0.2,0.11867,0.82203,0.84856,0.95184,0.75439,0.84038,0.78452,0.28026,0.24728,0.18016,0.21669,0.16381,0.15276,0.16136,0.12665,0.08365,0.10198,0.06786,0.05346,0.66823,0.5563,0.73076,0.44295,0.5703,0.69295,0.25439,0.2775,0.11591,0.41561,0.19248,0.13803,0.24488,0.19673,0.17334,0.19764,0.50167,0.67052,0.57548,0.7349,0.30167,0.26446,0.23925,0.63561,0.12083,0.21549,0.17232,0.26765,0.68171,0.33047,0.36043,0.17237,0.7052,0.6394,0.81131,0.51681,0.70017,0.78175,0.66803,0.95758,0.2514,0
6.37,0.26066,0.22173,0.18581,0.15581,0.72599,0.7985,0.84725,0.74269,0.74978,0.65677,0.23449,0.2122,0.18531,0.19798,0.1791,0.16796,0.12768,0.10309,0.08644,0.09072,0.0772,0.06086,0.47676,0.4479,0.44244,0.43144,0.39555,0.48695,0.42993,0.37248,0.3096,0.42702,0.32588,0.27576,0.21303,0.19351,0.17904,0.19137,0.43996,0.43342,0.48332,0.47672,0.37555,0.33408,0.38675,0.44361,0.32555,0.33614,0.3321,0.38685,0.45302,0.38579,0.4317,0.34788,0.51973,0.53431,0.55695,0.50512,0.53518,0.60102,0.48098,0.68189,0.32662,0
1.87,0.20853,0.17668,0.12387,0.06175,0.74576,0.86358,0.96087,0.83041,0.87403,0.78452,0.18616,0.15372,0.10329,0.14296,0.10234,0.08757,0.09591,0.06831,0.04115,0.05964,0.03669,0.02608,0.47413,0.59573,0.8026,0.61942,0.70742,0.72905,0.43252,0.2463,0.08048,0.25787,0.1157,0.1184,0.1587,0.12166,0.10692,0.12227,0.60715,0.78691,0.33108,0.79119,0.19216,0.26537,0.28957,0.73132,0.13981,0.27623,0.13772,0.14399,0.77337,0.39457,0.20756,0.17474,0.5171,0.67575,0.86561,0.68644,0.80968,0.81027,0.79237,0.88793,0.1874,0
3.71,0.23223,0.25442,0.27032,0.18234,0.55367,0.60451,0.78781,0.55945,0.73425,0.75484,0.2411,0.25689,0.19595,0.26085,0.2078,0.21934,0.12999,0.12855,0.09127,0.13068,0.09404,0.08843,0.20132,0.1298,0.31486,0.18405,0.37142,0.62774,0.73163,0.76351,0.4364,0.71486,0.34869,0.17649,0.25398,0.21036,0.22606,0.227,0.15595,0.36109,0.59278,0.48498,0.33475,0.10493,0.81762,0.49116,0.5097,0.13519,0.56458,0.51134,0.44779,0.10135,0.49097,0.61189,0.2304,0.1742,0.42131,0.23278,0.50972,0.72799,0.30255,0.73025,0.18491,0
12.2,0.41943,0.34541,0.35871,0.38495,0.70904,0.63079,0.59067,0.49318,0.46074,0.38968,0.37386,0.38012,0.3943,0.35067,0.37098,0.3732,0.23578,0.22745,0.2358,0.19683,0.20561,0.19191,0.53841,0.23962,0.14515,0.1361,0.12551,0.30393,0.37073,0.60444,0.67697,0.78212,0.68791,0.45285,0.36718,0.37909,0.36525,0.37343,0.18973,0.13392,0.83292,0.22604,0.704,0.39249,0.54258,0.20615,0.60859,0.36622,0.65528,0.82837,0.18861,0.32967,0.85062,0.62548,0.58077,0.30829,0.21198,0.17485,0.20161,0.40933,0.14617,0.48386,0.52494,0
6.24,0.26066,0.17049,0.16,0.10757,0.88983,0.84856,0.9225,0.7076,0.78602,0.73419,0.20498,0.19549,0.151,0.1613,0.1298,0.12928,0.1089,0.0928,0.0667,0.07007,0.05103,0.04299,0.76552,0.5563,0.64464,0.38566,0.46933,0.60847,0.17389,0.2775,0.16399,0.47392,0.26346,0.18866,0.18515,0.15436,0.13728,0.15593,0.47405,0.56983,0.67948,0.64567,0.38483,0.30806,0.20553,0.53979,0.13834,0.23619,0.20281,0.3501,0.58554,0.34714,0.4559,0.18456,0.79498,0.6394,0.74186,0.45782,0.60878,0.71153,0.59075,0.92219,0.31888,0
3.68,0.09479,0.09099,0.08968,0.12349,0.74859,0.80976,0.79233,0.74464,0.6799,0.55097,0.088,0.09148,0.11428,0.08683,0.11201,0.10829,0.03987,0.03645,0.04465,0.03346,0.04225,0.03329,0.3812,0.44092,0.26024,0.48656,0.26435,0.29852,0.5273,0.37911,0.50287,0.37374,0.46819,0.45923,0.08874,0.10555,0.10228,0.10115,0.46291,0.27087,0.38474,0.2828,0.47829,0.48891,0.43269,0.28469,0.50894,0.52829,0.45725,0.49016,0.28128,0.53776,0.50762,0.47785,0.42252,0.52726,0.35786,0.56037,0.38735,0.40313,0.35981,0.43467,0.45909,0
6.34,0.23223,0.16519,0.12,0.06271,0.83898,0.89612,0.97442,0.81676,0.86109,0.77419,0.18973,0.15957,0.11084,0.13585,0.09891,0.08646,0.09883,0.07142,0.04461,0.05613,0.03547,0.02573,0.65746,0.68283,0.85392,0.59874,0.67373,0.70546,0.26364,0.18279,0.05738,0.27484,0.13285,0.1311,0.15899,0.12389,0.10333,0.12281,0.6423,0.78943,0.4442,0.80532,0.24744,0.31565,0.16937,0.70136,0.07569,0.27861,0.09837,0.16496,0.76762,0.43008,0.26371,0.10805,0.69508,0.75277,0.90254,0.66745,0.78417,0.79172,0.81208,0.95326,0.24332,0
12.6,0.31635,0.28269,0.30129,0.30294,0.66384,0.63329,0.65312,0.52827,0.54616,0.49419,0.29349,0.3066,0.30611,0.29079,0.29579,0.30166,0.16991,0.16646,0.16305,0.15146,0.14953,0.13948,0.42059,0.20494,0.16491,0.15622,0.1694,0.35593,0.48631,0.65134,0.6431,0.75336,0.60801,0.39538,0.29693,0.29782,0.29566,0.29878,0.18146,0.16971,0.7443,0.26373,0.60857,0.32734,0.62752,0.25448,0.61206,0.32271,0.65205,0.74899,0.22976,0.28127,0.75386,0.64418,0.46298,0.26716,0.23829,0.19938,0.26408,0.46726,0.17357,0.51378,0.44245,0
7.04,0.43602,0.39576,0.41677,0.27738,0.58757,0.53567,0.769,0.42885,0.70233,0.79355,0.40997,0.42356,0.32258,0.40569,0.31919,0.33646,0.26618,0.26314,0.18475,0.24249,0.17119,0.16648,0.39691,0.1465,0.3487,0.0937,0.33861,0.65504,0.5108,0.73722,0.39927,0.84544,0.38192,0.15989,0.41297,0.34143,0.34922,0.36233,0.12105,0.35626,0.81375,0.51692,0.40671,0.09818,0.70465,0.48398,0.42022,0.07975,0.53081,0.58755,0.45311,0.06317,0.60045,0.54047,0.43872,0.19534,0.45892,0.12209,0.4739,0.75085,0.28243,0.84204,0.21432,0
8.24,0.63981,0.59629,0.56645,0.42161,0.4322,0.46058,0.67344,0.4191,0.64021,0.7071,0.61292,0.59231,0.48421,0.57747,0.48331,0.48315,0.47281,0.4394,0.3374,0.41387,0.3187,0.29509,0.34768,0.15175,0.28743,0.12763,0.29858,0.56651,0.56318,0.72913,0.4687,0.79447,0.42633,0.21663,0.59243,0.51437,0.50907,0.52882,0.14012,0.3041,0.74199,0.43843,0.4345,0.1494,0.72029,0.42191,0.49077,0.1467,0.57169,0.60729,0.38911,0.11908,0.60873,0.58677,0.38764,0.20192,0.38988,0.16443,0.42823,0.6747,0.25735,0.73034,0.25751,0
5,0.6564,0.61572,0.59548,0.4602,0.4096,0.42178,0.62378,0.37427,0.59016,0.66194,0.63123,0.61696,0.51647,0.60254,0.51513,0.51768,0.49371,0.46666,0.3698,0.44173,0.35093,0.33013,0.33602,0.12822,0.24577,0.10295,0.26414,0.53429,0.57589,0.76604,0.522,0.8313,0.46845,0.23954,0.61547,0.54311,0.54007,0.55764,0.11604,0.26421,0.7686,0.39982,0.46857,0.15851,0.75435,0.38774,0.53755,0.15663,0.61985,0.65703,0.35141,0.118,0.65218,0.63216,0.37541,0.17219,0.34046,0.13372,0.38709,0.64549,0.21894,0.69368,0.27846,0
