TN,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63
1.59,0.02962,0,0.01161,0,0.88418,0.91763,0.94357,0.818,0.81191,0.71751,0.00763,0.01796,0.00755,0.00299,0,0.00414,0.00365,0.00615,0.00228,0.00139,0,0.00097,0.65244,0.78026,0.79494,0.77269,0.59906,0.50886,0.26798,0.12206,0.08518,0.1498,0.19759,0.3221,0.00939,0.00297,0.00105,0.00537,0.79877,0.72497,0.38832,0.67263,0.30191,0.63035,0.1399,0.5751,0.10318,0.68879,0.09919,0.16413,0.65681,0.81213,0.26551,0.10959,0.69035,0.83199,0.85941,0.81555,0.71317,0.59477,0.81195,0.77904,0.38867
2.33,0.08886,0.11042,0.08452,0.00724,0.67232,0.83655,0.9699,0.84254,0.90682,0.84748,0.09664,0.08605,0.02986,0.09207,0.04368,0.0395,0.04353,0.03397,0.00962,0.03541,0.01209,0.00967,0.22689,0.47234,0.92887,0.70324,0.94321,1,0.70074,0.35546,0.0269,0.20175,0.02167,0,0.0913,0.05005,0.05441,0.05961,0.5949,0.99078,0.20364,1,0.05881,0.15694,0.49867,0.98818,0.17668,0.31272,0.15168,0.06099,1,0.38735,0.08256,0.23733,0.25847,0.55524,0.95369,0.75505,0.96508,1,0.85659,0.92883,0.03768
2.47,0,0.00883,0,0.00145,0.78531,0.90862,0.9225,0.87526,0.81795,0.68966,0,0,0,0,0.00406,0,0,0,0,0,0.00112,0,0.35081,0.75188,0.67253,1,0.61999,0.39788,0.5598,0.14009,0.14949,0,0.18402,0.42693,0,0,0,0,0.8905,0.68019,0.1038,0.54228,0.21634,0.69543,0.27585,0.54341,0.2396,0.96175,0.14592,0.10446,0.59083,0.97648,0.14837,0.20585,0.39091,0.80865,0.76407,1,0.73082,0.4835,0.81999,0.42197,0.34342
7.11,0.15047,0.12102,0.08323,0.07718,0.78531,0.90605,0.89992,0.87117,0.79206,0.65252,0.1292,0.10693,0.09746,0.09581,0.09267,0.07901,0.06225,0.04385,0.03875,0.03686,0.03383,0.02307,0.50495,0.68818,0.56565,0.77103,0.45349,0.32761,0.40252,0.1828,0.21702,0.15101,0.30719,0.50258,0.10893,0.10183,0.08709,0.09667,0.74684,0.53195,0.31049,0.44178,0.35081,0.71249,0.24244,0.41106,0.25175,0.86967,0.20402,0.23966,0.45825,0.87916,0.30596,0.22836,0.54781,0.75478,0.67251,0.81413,0.57999,0.40836,0.6621,0.45465,0.45456
7.64,0.33412,0.24647,0.2,0.11867,0.82203,0.87259,0.95184,0.79141,0.84038,0.77851,0.28026,0.24728,0.18016,0.21669,0.16381,0.15276,0.16136,0.12665,0.08365,0.10198,0.06786,0.05346,0.66823,0.58398,0.7286,0.5082,0.53523,0.61378,0.25439,0.26018,0.11852,0.36693,0.24213,0.23651,0.24488,0.19673,0.17334,0.19764,0.56468,0.6563,0.57548,0.68447,0.34061,0.42534,0.23925,0.57754,0.12729,0.40789,0.17232,0.26765,0.6351,0.51412,0.36534,0.17237,0.7052,0.6619,0.80891,0.57341,0.65711,0.69243,0.66803,0.93056,0.33848
6.37,0.26066,0.22173,0.18581,0.15581,0.72599,0.82111,0.84725,0.77914,0.74978,0.64721,0.23449,0.2122,0.18531,0.19798,0.1791,0.16796,0.12768,0.10309,0.08644,0.09072,0.0772,0.06086,0.47676,0.47019,0.43797,0.49499,0.34622,0.35467,0.42993,0.35744,0.31658,0.37929,0.40996,0.4725,0.21303,0.19351,0.17904,0.19137,0.49523,0.40897,0.48332,0.37719,0.42402,0.53732,0.38675,0.35495,0.34296,0.63629,0.3321,0.38685,0.37292,0.60017,0.43759,0.34788,0.51973,0.55311,0.55132,0.56043,0.46844,0.43775,0.48098,0.47928,0.43976
1.87,0.20853,0.17668,0.12387,0.06175,0.74576,0.88803,0.96087,0.87117,0.87403,0.77851,0.18616,0.15372,0.10329,0.14296,0.10234,0.08757,0.09591,0.06831,0.04115,0.05964,0.03669,0.02608,0.47413,0.62537,0.80102,0.71066,0.68354,0.6592,0.43252,0.22824,0.08229,0.19604,0.14555,0.20288,0.1587,0.12166,0.10692,0.12227,0.68341,0.77771,0.33108,0.75147,0.21696,0.42681,0.28957,0.68851,0.14728,0.52288,0.13772,0.14399,0.74017,0.61384,0.21039,0.17474,0.5171,0.69953,0.8639,0.76162,0.78235,0.73263,0.79237,0.81655,0.25232
3.71,0.23223,0.25442,0.27032,0.18234,0.55367,0.62162,0.78781,0.58691,0.73425,0.74801,0.2411,0.25689,0.19595,0.26085,0.2078,0.21934,0.12999,0.12855,0.09127,0.13068,0.09404,0.08843,0.20132,0.13626,0.30937,0.21117,0.32012,0.53176,0.73163,0.75784,0.44624,0.69111,0.43865,0.3024,0.25398,0.21036,0.22606,0.227,0.17554,0.33352,0.59278,0.38702,0.37796,0.16876,0.81762,0.41008,0.53696,0.25591,0.56458,0.51134,0.36692,0.15767,0.49767,0.61189,0.2304,0.18033,0.41395,0.25828,0.43932,0.61668,0.30255,0.55844,0.24895
12.2,0.41943,0.34541,0.35871,0.38495,0.70904,0.64865,0.59067,0.51738,0.46074,0.37268,0.37386,0.38012,0.3943,0.35067,0.37098,0.3732,0.23578,0.22745,0.2358,0.19683,0.20561,0.19191,0.53841,0.25155,0.1383,0.15614,0.05414,0.12446,0.37073,0.59496,0.69222,0.76397,0.86537,0.77594,0.36718,0.37909,0.36525,0.37343,0.21356,0.09654,0.83292,0.07883,0.79486,0.63125,0.54258,0.07964,0.64114,0.69323,0.65528,0.82837,0.06978,0.51288,0.86222,0.62548,0.58077,0.31913,0.20196,0.194,0.08697,0.16762,0.14617,0.15512,0.70677
6.24,0.26066,0.17049,0.16,0.10757,0.88983,0.87259,0.9225,0.74233,0.78602,0.72679,0.20498,0.19549,0.151,0.1613,0.1298,0.12928,0.1089,0.0928,0.0667,0.07007,0.05103,0.04299,0.76552,0.58398,0.64179,0.44247,0.42602,0.50752,0.17389,0.26018,0.16768,0.4301,0.33143,0.32327,0.18515,0.15436,0.13728,0.15593,0.5336,0.55126,0.67948,0.57827,0.4345,0.49546,0.20553,0.46645,0.14574,0.44709,0.20281,0.3501,0.52485,0.54005,0.46211,0.18456,0.79498,0.6619,0.73858,0.50795,0.5526,0.59348,0.59075,0.87264,0.42934
