TN,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,
4.95,0.34365,0.28251,0.27044,0.3599,0.7707,0.69932,0.55928,0.55484,0.46964,0.44267,0.29388,0.28445,0.34384,0.27581,0.32637,0.31623,0.20116,0.18534,0.23428,0.16545,0.20782,0.18665,0.59819,0.3776,0.31637,0.28643,0.31089,0.35177,0.34442,0.46269,0.49244,0.61138,0.48479,0.44501,0.28378,0.32309,0.30675,0.30747,0.33553,0.30482,0.52365,0.34312,0.47578,0.43831,0.40596,0.35039,0.44583,0.44292,0.56364,0.56417,0.34526,0.44183,0.55134,0.50818,0.6247,0.45381,0.39249,0.33908,0.39979,0.43716,0.28849,0.46891,0.44398,0
1.81,0.29805,0.34305,0.2965,0.20223,0.50955,0.60304,0.76031,0.63548,0.79082,0.75181,0.31156,0.28504,0.22235,0.31721,0.26323,0.24825,0.211,0.18396,0.14406,0.19711,0.16301,0.1424,0.11325,0.24884,0.53988,0.35039,0.68248,0.70233,0.85963,0.61195,0.27676,0.53933,0.16492,0.1557,0.30507,0.26318,0.27491,0.27307,0.29569,0.61457,0.2447,0.6525,0.09048,0.11414,0.6812,0.73448,0.37704,0.19301,0.46007,0.25763,0.69364,0.18392,0.18577,0.51316,0.12495,0.31209,0.62093,0.40807,0.76039,0.77153,0.51742,0.66161,0.0796,0
1.23,0.38111,0.35874,0.33513,0.14739,0.62739,0.61655,0.90851,0.54194,0.89609,0.90711,0.35578,0.34063,0.2149,0.34564,0.23895,0.23904,0.25199,0.23084,0.14194,0.22064,0.14351,0.13546,0.37163,0.28261,0.80621,0.26431,0.85085,0.9486,0.56943,0.5701,0.09741,0.63737,0.06926,0.02303,0.34688,0.26356,0.2727,0.2848,0.27417,0.82897,0.4457,0.92522,0.04782,0.01118,0.55793,0.95195,0.16893,0.02636,0.29013,0.20617,0.93609,0.06306,0.17879,0.31529,0.39805,0.35045,0.85311,0.31469,0.89387,0.96353,0.64477,0.92684,0.00564,0
3.5,0.49023,0.45404,0.40521,0.2048,0.57006,0.59797,0.90851,0.56452,0.92038,0.92308,0.45918,0.42637,0.29169,0.42693,0.31277,0.30263,0.34775,0.30877,0.20433,0.29163,0.20004,0.18211,0.35983,0.28342,0.81449,0.27139,0.86374,0.95637,0.58185,0.56912,0.09277,0.62899,0.06277,0.01946,0.43593,0.34661,0.34521,0.364,0.27787,0.83995,0.4331,0.93377,0.03965,0.00837,0.56112,0.96309,0.16773,0.02611,0.28579,0.19762,0.94677,0.0632,0.16887,0.31383,0.38593,0.35136,0.85974,0.32253,0.90346,0.96911,0.65386,0.92794,0,0
3.68,0.5228,0.46525,0.44295,0.27763,0.60191,0.56081,0.82474,0.46129,0.81916,0.86067,0.47959,0.46304,0.35186,0.45287,0.35891,0.35833,0.36876,0.34368,0.25607,0.3161,0.24034,0.22758,0.42756,0.25312,0.68494,0.195,0.71156,0.85483,0.51152,0.60653,0.17117,0.72275,0.14681,0.06881,0.4638,0.39022,0.3884,0.40587,0.2263,0.69605,0.54553,0.81132,0.13015,0.03792,0.56701,0.82667,0.2173,0.03921,0.36973,0.30333,0.80682,0.06089,0.27901,0.3728,0.45508,0.31701,0.75217,0.23641,0.78459,0.89393,0.53108,0.88122,0.06107,0
1.14,0,0.09081,0.07008,0.28021,0.64331,0.71959,0.40722,0.72258,0.36437,0.25399,0.03401,0.02779,0.16963,0.0793,0.19815,0.17763,0.01531,0.0146,0.07718,0.03853,0.10574,0.07934,0,0.34961,0,0.57528,0.14348,0.05363,1,0.49287,1,0.31797,0.71704,0.88477,0.04955,0.14297,0.15322,0.12133,0.45373,0.0685,0,0.01604,0.58458,0.82091,0.63601,0.10771,1,0.99689,1,0.67048,0.06851,0.87961,0.55545,1,0,0.42402,0,0.63386,0.19829,0.07503,0.08832,0,0.68456,0
3.16,0.18893,0.19731,0.20216,0.3976,0.71019,0.66723,0.38015,0.55484,0.30769,0.26851,0.17755,0.18332,0.31461,0.2,0.31083,0.30219,0.1101,0.10891,0.19009,0.11175,0.18703,0.16746,0.36355,0.30597,0.09179,0.30199,0.15259,0.17501,0.57793,0.54233,0.81627,0.59343,0.70215,0.67225,0.18815,0.27493,0.2727,0.25333,0.30414,0.11482,0.40352,0.13046,0.63612,0.60787,0.53972,0.17315,0.7606,0.66888,0.87254,0.74998,0.14524,0.59467,0.68832,0.8145,0.38975,0.37648,0.12364,0.35608,0.21002,0.23292,0.09199,0.21249,0.61299,0
0.5,0.1873,0.12108,0.13747,0.45758,0.92357,0.78716,0.28866,0.56774,0.12146,0.06241,0.13061,0.14015,0.35415,0.13017,0.3118,0.30132,0.07979,0.08098,0.21377,0.06792,0.17406,0.1529,0.84351,0.50237,0.02758,0.33596,0,0,0.12671,0.34102,0.94059,0.55519,1,1,0.13357,0.27531,0.25063,0.2344,0.42558,0,0.58343,0,1,1,0.24557,0,0.76786,1,0.87402,1,0,0.94742,1,0.73391,0.85769,0.58028,0.03808,0.39271,0,0,0,0.08198,1,0
1.99,0.05049,0,0,0,1,0.90372,0.86856,0.7129,0.69636,0.61538,0,0,0,0,0,0,0,0,0,0,0,0,1,0.81146,0.66415,0.64943,0.51326,0.36269,0,0.10825,0.18503,0.25423,0.28703,0.43329,0,0,0,0,0.73669,0.57494,0.38882,0.52542,0.36378,0.64139,0.03038,0.47015,0.12125,0.59532,0.12959,0.26951,0.5438,0.75097,0.33886,0.07479,1,0.85495,0.7341,0.70306,0.6089,0.44891,0.70241,0.60346,0.47543,0
1.52,0.09283,0.13117,0.12668,0.11311,0.71019,0.70946,0.73196,0.63548,0.67611,0.62845,0.09728,0.09876,0.09054,0.12868,0.12093,0.11974,0.05534,0.05457,0.04927,0.06672,0.0655,0.0592,0.2661,0.35155,0.41821,0.4202,0.50371,0.47483,0.68326,0.49074,0.38446,0.46562,0.2949,0.32489,0.10995,0.10429,0.12295,0.11093,0.38323,0.45921,0.24797,0.46358,0.2391,0.31721,0.53423,0.52047,0.42838,0.38751,0.48822,0.34756,0.50046,0.38571,0.29471,0.50521,0.28846,0.4261,0.50088,0.48087,0.59977,0.56411,0.44368,0.5093,0.25815,0
