TN,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,,,,
2.48,0.37168,0.45907,0.52237,0.42926,0.42912,0.13408,0.60178,0.26336,0.60992,0.66573,0.4215,0.46429,0.51657,0.51151,0.56918,0.62357,0.2908,0.31588,0.4833,0.37371,0.49394,0.56126,0.28104,0,0.28396,0.1213,0.29658,0.40808,0.6519,1,0.35648,0.82856,0.32834,0.23514,0.47522,0.58581,0.62299,0.59107,0,0.29135,0.52011,0.35279,0.32227,0.21252,0.91964,0.34866,0.39627,0.22347,0.46869,0.39265,0.33045,0.19653,0.38552,0.51667,0.30911,0,0.39908,0.14644,0.44492,0.54875,0.34826,0.49735,0.26157,5.68209,-1.78785,13.15203,0
0.63,0.30531,0.38434,0.32154,0,0.49808,0.54749,1,0.75954,0.97802,0.96104,0.35026,0.31773,0.1032,0.36421,0.1609,0.15161,0.22881,0.19512,0.08846,0.23359,0.10036,0.10244,0.28308,0.33157,1,0.58933,1,0.98769,0.64961,0.54746,0,0.31738,0,0.00263,0.34985,0.22504,0.24166,0.26438,0.43107,1,0.10589,1,0,0.04066,0.63269,1,0.04744,0.07252,0.05888,0,1,0.09873,0,0.1254,0.31126,0.38831,1,0.64072,1,0.99298,1,0.8925,0.0123,1.06411,-6.48569,8.61391,0
2.51,0.63274,0.60973,0.52549,0.2458,0.62069,0.62011,0.88843,0.73664,0.854,0.8402,0.62203,0.57512,0.4465,0.58631,0.47537,0.46625,0.50294,0.44099,0.46994,0.44943,0.40995,0.3953,0.67206,0.46012,0.71236,0.45413,0.60565,0.64174,0.2632,0.41318,0.08148,0.44506,0.11832,0.1058,0.60308,0.58494,0.55394,0.59139,0.42888,0.64989,0.42467,0.679,0.15131,0.15855,0.36657,0.62534,0.08051,0.15011,0.11506,0.13395,0.64984,0.19206,0.16628,0.13584,0.7011,0.52169,0.80573,0.50832,0.74488,0.75959,0.76518,0.77204,0.14914,3.67005,-3.76117,11.10127,0
1.91,0.43953,0.4911,0.39438,0.07974,0.50192,0.60615,0.97507,0.83588,0.95378,0.92547,0.46966,0.41687,0.22488,0.45627,0.27778,0.25701,0.33868,0.28095,0.20473,0.31519,0.20119,0.18793,0.41729,0.42292,0.90179,0.60261,0.85391,0.83629,0.5055,0.4502,0.02336,0.30555,0.03406,0.03984,0.45439,0.36252,0.35661,0.38773,0.48798,0.87376,0.17048,0.87245,0.04556,0.08996,0.50363,0.85069,0.05291,0.10958,0.06573,0.03208,0.86508,0.14763,0.04348,0.11584,0.45044,0.48397,0.93894,0.65331,0.91744,0.9001,0.94279,0.84249,0.05983,1.51804,-5.98407,9.02014,0
1.59,0.42478,0.4567,0.43913,0.17446,0.57471,0.4581,0.87537,0.56107,0.84837,0.86053,0.44393,0.43719,0.30527,0.46433,0.34539,0.36137,0.31543,0.2981,0.28688,0.32602,0.27139,0.28448,0.48016,0.27618,0.64703,0.35656,0.59707,0.66996,0.44213,0.61131,0.10702,0.54628,0.12211,0.09454,0.45606,0.41462,0.42409,0.43977,0.2764,0.61778,0.40083,0.66369,0.13771,0.12002,0.57568,0.63336,0.12706,0.12519,0.17055,0.1512,0.63721,0.14155,0.16611,0.20877,0.5139,0.3281,0.75429,0.40781,0.73802,0.78169,0.6991,0.75658,0.12335,3.47588,-3.94648,10.89824,0
2.35,0.81711,0.79953,0.67222,0.54017,0.48659,0.57542,0.67122,0.80916,0.66742,0.64257,0.81003,0.73892,0.7811,0.75949,0.81656,0.79439,0.73269,0.63698,0.96693,0.65476,0.85408,0.8027,0.6521,0.44158,0.46943,0.44524,0.39802,0.42571,0.28086,0.43145,0.19891,0.45394,0.23765,0.22234,0.78051,0.92469,0.86465,0.88596,0.41402,0.42762,0.42086,0.44897,0.26669,0.26699,0.3864,0.41276,0.19746,0.25883,0.22944,0.25305,0.42871,0.29422,0.28148,0.24694,0.68207,0.50298,0.59705,0.49934,0.55692,0.56664,0.565,0.58181,0.262,4.16327,-3.26126,11.58781,0
0.52,0.31858,0.3013,0.23621,0.56355,0.80077,0.80168,0.44748,0.80534,0.40868,0.38396,0.31003,0.27278,0.61869,0.27675,0.61688,0.59709,0.201,0.16119,0.55306,0.1632,0.48505,0.40935,0.66226,0.66275,0.16515,0.71608,0.13038,0.10201,0.27185,0.23393,0.52617,0.20919,0.57889,0.65106,0.2903,0.60989,0.5508,0.5204,0.67945,0.1448,0.22761,0.13219,0.60273,0.70962,0.25739,0.11828,0.51636,0.7032,0.50901,0.55756,0.13147,0.75454,0.5815,0.51268,0.69176,0.7155,0.24885,0.75812,0.22181,0.16692,0.25287,0.20162,0.64793,6.86394,-0.99631,14.7242,0
1.88,0.67847,0.59431,0.50676,0.2524,0.78927,0.75698,0.9003,0.75573,0.84047,0.82383,0.63391,0.58313,0.46931,0.56847,0.47432,0.46262,0.51952,0.45026,0.50349,0.42985,0.40879,0.3899,0.86477,0.58945,0.74121,0.4759,0.58307,0.61019,0.10272,0.29476,0.07124,0.42356,0.12845,0.11925,0.60308,0.59764,0.5461,0.59492,0.51105,0.64863,0.51373,0.67546,0.17864,0.19092,0.21647,0.59858,0.05114,0.166,0.08667,0.14109,0.63873,0.226,0.19048,0.09081,0.87979,0.64757,0.82748,0.53017,0.72668,0.73412,0.78559,0.78545,0.17904,4.42956,-3.03298,11.89211,0
2.66,0.47493,0.40925,0.2872,0.10312,0.85824,0.96089,0.96617,0.96565,0.8929,0.84529,0.43997,0.36823,0.2591,0.35731,0.26205,0.22378,0.31655,0.2368,0.24141,0.22456,0.19203,0.15832,0.84269,0.86638,0.87561,0.82193,0.6997,0.60934,0.12023,0.08471,0.03026,0.12629,0.08127,0.11963,0.39275,0.35989,0.30443,0.35271,0.8471,0.77262,0.25999,0.7378,0.13032,0.2331,0.09199,0.66273,0.01319,0.21702,0.01465,0.0548,0.72265,0.31508,0.10374,0.02405,0.85977,0.89245,0.9218,0.85155,0.81582,0.73343,0.97239,0.78094,0.17002,2.24251,-5.20907,9.69409,0
2.46,1,0.88493,0.72216,0.44305,0.68582,0.78771,0.84095,0.90076,0.79932,0.76115,0.93931,0.84483,0.76046,0.82854,0.76939,0.7352,0.91832,0.78135,0.97748,0.74493,0.79739,0.73876,0.89196,0.60938,0.68956,0.48076,0.53451,0.5579,0.08145,0.27781,0.09,0.41881,0.15218,0.1438,0.88213,0.93958,0.84818,0.9123,0.52452,0.59878,0.5249,0.62312,0.2044,0.21736,0.19578,0.54806,0.06692,0.18988,0.10181,0.16391,0.58789,0.2519,0.21531,0.10288,0.9043,0.66627,0.78813,0.53502,0.68583,0.69001,0.74724,0.74727,0.20529,4.57055,-2.87027,12.01138,0
