TN,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,
3.36,0.17846,0.20231,0.12792,0,0.51531,0.69817,0.92521,0.62679,0.91097,0.86391,0.19146,0.15327,0,0.1642,0.03399,0.02256,0.095,0.06829,0.00824,0.07483,0.01368,0.01201,0.17935,0.5482,0.67158,0.69146,0.80894,0.66463,0.76044,0.2887,0.09619,0.21052,0.04201,0.10085,0.17004,0.04709,0.05409,0.06728,0.61436,0.74716,0.16688,0.75834,0.04182,0.19771,0.42966,0.84153,0.16594,0.2438,0.16186,0.06523,0.7936,0.33058,0.04109,0.22499,0.20513,0.63197,0.78688,0.74881,0.89366,0.77787,0.72857,0.6682,0.07889,1
3.24,0.04341,0.04769,0.02613,0.1521,0.63265,0.66768,0.68144,0.4689,0.64387,0.63905,0.04577,0.03456,0.0841,0.03665,0.10327,0.10836,0.01869,0.0127,0.02937,0.0137,0.03865,0.03386,0.13246,0.50478,0.06719,0.67056,0.15643,0.06997,0.81961,0.32577,0.75133,0.22696,0.50032,0.74711,0.03905,0.07456,0.08465,0.06818,0.58155,0.11629,0.15615,0.07779,0.45682,0.77095,0.47772,0.13392,0.87596,0.88006,0.77263,0.47515,0.11254,0.89155,0.42466,0.86986,0.15276,0.59058,0.11509,0.73029,0.26905,0.11735,0.17333,0.05889,0.57329,1
4.81,0.14148,0.05347,0.02476,0.01362,0.92347,0.85671,0.89266,0.49282,0.82051,0.79882,0.09535,0.07964,0.000457,0.03876,0,0,0.04397,0.02998,0.00797,0.01433,0,0,0.82189,0.96695,0.52706,0.71372,0.46817,0.34583,0.13069,0.01655,0.16338,0.19336,0.17418,0.296,0.07069,0.0107,0,0.01435,0.8436,0.49465,0.43855,0.49816,0.22693,0.46863,0,0.46793,0.12811,0.44256,0.15418,0.18055,0.49451,0.60239,0.20912,0.11897,0.84494,0.97642,0.66801,0.76832,0.63601,0.48299,0.60098,0.57229,0.30479,1
1.52,1,0.99566,0.88033,0.47049,0.32143,0.58841,0.70499,0.63636,0.71154,0.6785,1,0.94816,0.61243,0.93658,0.62694,0.63114,1,0.92111,0.59026,0.89544,0.56533,0.60375,0.53151,0.43066,0.4071,0.27014,0.42597,0.45749,0.37945,0.39434,0.24067,0.61753,0.20013,0.2086,0.96441,0.72101,0.73024,0.79575,0.34824,0.41748,0.56527,0.48983,0.22174,0.2683,0.35067,0.49603,0.25395,0.2529,0.32139,0.25975,0.47167,0.31248,0.25744,0.33172,0.57259,0.51702,0.55352,0.32992,0.59562,0.59842,0.43322,0.59738,0.22209,1
5.31,0.65916,0.63006,0.51719,0.24064,0.53061,0.74695,0.83864,0.689,0.8198,0.7712,0.64531,0.59053,0.33044,0.57223,0.3438,0.33525,0.50544,0.4338,0.24873,0.4136,0.23453,0.23577,0.55429,0.54862,0.51025,0.40255,0.51833,0.50296,0.35809,0.28835,0.17279,0.47003,0.14715,0.1801,0.60405,0.41063,0.40639,0.45664,0.47414,0.5147,0.48689,0.57507,0.17549,0.2693,0.27132,0.57715,0.17773,0.25536,0.23208,0.1931,0.56148,0.34104,0.19646,0.23544,0.59489,0.63237,0.65292,0.47266,0.68112,0.64134,0.53569,0.65003,0.19471,1
1.98,0.97106,0.90029,0.75791,0.44949,0.56633,0.80488,0.71814,0.74641,0.69088,0.64431,0.93593,0.86777,0.58729,0.82734,0.58262,0.57541,0.90231,0.79611,0.55497,0.73185,0.50248,0.51407,0.67764,0.56676,0.41453,0.34503,0.40024,0.39903,0.24813,0.2735,0.2351,0.53149,0.21767,0.25081,0.87889,0.67785,0.6628,0.73295,0.45563,0.40667,0.57784,0.4619,0.25237,0.33721,0.21818,0.45089,0.22515,0.31215,0.28549,0.26397,0.44417,0.39603,0.27483,0.27391,0.71283,0.64928,0.5611,0.41202,0.56982,0.53987,0.44866,0.57434,0.27053,1
5.14,0.72026,0.65462,0.53508,0.14869,0.63776,0.82317,0.97715,0.70813,0.94729,0.88626,0.68726,0.62885,0.27377,0.59338,0.28141,0.26935,0.55745,0.47709,0.19564,0.43662,0.17504,0.1774,0.66449,0.6105,0.80957,0.40556,0.76294,0.75982,0.25941,0.23908,0.0487,0.46693,0.05454,0.06565,0.63767,0.37246,0.36003,0.42853,0.50788,0.78391,0.53339,0.89133,0.10168,0.18006,0.19956,0.8591,0.02803,0.14252,0.10562,0.1103,0.85313,0.25365,0.12822,0.08848,0.70048,0.68927,0.88474,0.47577,0.86465,0.84826,0.71567,0.88628,0.11174,1
7.2,0.35852,0.34249,0.22558,0.10783,0.59184,0.82317,0.87119,0.7512,0.84473,0.78567,0.35088,0.29076,0.13803,0.28259,0.15749,0.13799,0.21103,0.15497,0.08575,0.14974,0.08403,0.07226,0.45005,0.70528,0.51943,0.67716,0.556,0.43755,0.4588,0.17068,0.1676,0.22174,0.12912,0.22223,0.30845,0.18944,0.17984,0.20783,0.68934,0.53955,0.29239,0.54432,0.14859,0.3428,0.23211,0.56892,0.18972,0.3609,0.19733,0.14421,0.55918,0.47069,0.14064,0.21495,0.49144,0.77203,0.6612,0.73616,0.71311,0.57889,0.60558,0.56878,0.20524,1
3.1,0.40836,0.5159,0.58735,0.11464,0.13776,0.11585,0.88435,0.06699,0.92165,0.95069,0.46606,0.51165,0.15768,0.5525,0.21429,0.25962,0.30576,0.33791,0.10014,0.39706,0.12238,0.16656,0.07254,0.04727,0.56091,0.04013,0.72997,0.9672,0.89868,0.90848,0.14556,0.93461,0.06427,0.00748,0.5131,0.24759,0.31858,0.33523,0.03645,0.65393,0.55384,0.86078,0.05155,0,0.89891,0.94017,0.24274,0,0.36511,0.18083,0.82099,0,0.14068,0.45804,0.08455,0.06561,0.69757,0.05269,0.84291,0.98117,0.47715,0.87506,0,0
2.38,0.48071,0.59827,0.63549,0.57435,0.07653,0.14634,0.35457,0.17225,0.38533,0.44116,0.54386,0.57175,0.54845,0.61734,0.58735,0.63335,0.3829,0.40297,0.39193,0.46873,0.45359,0.54542,0.09353,0.09295,0.07107,0.09441,0.16717,0.21331,0.87053,0.82777,0.73989,0.85146,0.48053,0.45048,0.58082,0.57296,0.63541,0.61842,0.08667,0.12394,0.51323,0.15914,0.43482,0.41003,0.83382,0.21127,0.87261,0.45206,0.89006,0.54017,0.16544,0.41567,0.48261,1,0.1086,0.12665,0.12137,0.12179,0.2849,0.32393,0.12659,0.21801,0.40717,0
3.1,0.47588,0.55347,0.56946,0.29455,0.21939,0.28354,0.69391,0.25359,0.71439,0.73373,0.51793,0.53343,0.32176,0.56166,0.36188,0.39407,0.35922,0.36658,0.22227,0.40657,0.24722,0.29474,0.1955,0.17228,0.28109,0.14191,0.37859,0.45798,0.74058,0.70293,0.35757,0.78324,0.23357,0.20827,0.54029,0.38494,0.43449,0.44647,0.15114,0.33474,0.5171,0.41662,0.21885,0.20948,0.69918,0.46613,0.44165,0.22282,0.50732,0.31143,0.40809,0.22777,0.27552,0.58144,0.22297,0.22753,0.41383,0.18033,0.54737,0.5989,0.32423,0.51646,0.19296,0
2.14,0.4373,0.58092,0.66437,0.46027,0,0,0.47507,0.01435,0.51994,0.58711,0.51411,0.56724,0.44424,0.62368,0.4957,0.55374,0.34991,0.39121,0.30203,0.476,0.36767,0.47081,0,0,0.11131,0.01586,0.2309,0.32414,1,1,0.63469,0.97374,0.38212,0.31669,0.57192,0.48733,0.56797,0.55293,0,0.17711,0.54545,0.24377,0.33538,0.26827,1,0.30634,0.78278,0.30111,0.83739,0.4688,0.24275,0.25951,0.4065,0.96534,0,0,0.18445,0.02099,0.3734,0.45873,0.16329,0.33226,0.28331,0
0.72,0.23151,0.22543,0.13343,0.02951,0.60204,0.78659,0.91205,0.68421,0.88533,0.83235,0.22883,0.18107,0.03885,0.17829,0.06325,0.04732,0.12022,0.08338,0.02697,0.08218,0.02862,0.02287,0.35357,0.70035,0.61966,0.75023,0.68704,0.53085,0.55916,0.17404,0.11784,0.16594,0.07798,0.16419,0.19624,0.08313,0.07938,0.09868,0.72228,0.65673,0.21662,0.65425,0.09214,0.28932,0.2738,0.69817,0.15404,0.32028,0.15251,0.09133,0.68006,0.43315,0.08176,0.18393,0.39241,0.76785,0.7463,0.79982,0.81334,0.66661,0.70003,0.62262,0.14653,0
3.11,0.15273,0.20665,0.09491,0.0681,0.41837,0.72256,0.83102,0.75598,0.82764,0.76923,0.18154,0.12322,0.04753,0.1494,0.08692,0.06502,0.08746,0.05232,0.02808,0.06437,0.04143,0.02792,0.02298,0.60327,0.35369,0.92452,0.50901,0.32438,0.96721,0.24464,0.28452,0.04652,0.15189,0.31645,0.15175,0.08527,0.08887,0.09211,0.75637,0.43915,0,0.38524,0.12685,0.4047,0.48141,0.48335,0.40308,0.51178,0.32349,0.14129,0.44472,0.58323,0.09872,0.4254,0.02702,0.68274,0.49701,0.94217,0.67296,0.459,0.53584,0.35715,0.21002,0
3,0.291,0.38006,0.29849,0.08173,0.2449,0.53354,0.87396,0.62201,0.89601,0.85076,0.33867,0.29902,0.09781,0.33827,0.14888,0.14109,0.19554,0.16164,0.05952,0.1941,0.07768,0.07742,0.0354,0.32464,0.51069,0.48717,0.68717,0.63991,0.94976,0.50607,0.17254,0.38616,0.07794,0.11117,0.32674,0.16732,0.19143,0.20514,0.39844,0.6078,0.20894,0.65089,0.06036,0.15638,0.64957,0.75192,0.28044,0.20663,0.28732,0.12043,0.67812,0.24729,0.08012,0.38504,0.04153,0.40485,0.65332,0.55824,0.81344,0.75847,0.57749,0.61774,0.07594,0
3.86,0.45498,0.49277,0.45117,0.16175,0.36735,0.5061,0.84695,0.46411,0.85114,0.83103,0.47597,0.45905,0.20887,0.47146,0.24312,0.25254,0.32011,0.29673,0.1377,0.31308,0.14634,0.16182,0.30069,0.33048,0.48799,0.29124,0.56894,0.60923,0.61736,0.49943,0.18589,0.59256,0.12333,0.12478,0.47059,0.28184,0.30734,0.33433,0.30624,0.53253,0.44902,0.62072,0.12839,0.16998,0.51452,0.66162,0.23685,0.17465,0.29789,0.18812,0.61007,0.21991,0.16849,0.3443,0.33675,0.41126,0.63247,0.35342,0.72374,0.73369,0.5028,0.67467,0.12358,0
2.62,0.24277,0.30491,0.25447,0.22645,0.35714,0.53963,0.67659,0.52632,0.67735,0.66206,0.27613,0.25244,0.20064,0.27907,0.23623,0.23972,0.14975,0.12866,0.10973,0.15051,0.13254,0.13286,0.08368,0.31991,0.17534,0.43958,0.2873,0.24833,0.88368,0.51148,0.50582,0.43243,0.31534,0.40221,0.27039,0.22904,0.25149,0.24731,0.37284,0.23695,0.25785,0.23927,0.28257,0.41789,0.62723,0.30492,0.62489,0.48429,0.59461,0.33776,0.26399,0.49528,0.29019,0.69456,0.09734,0.39965,0.27741,0.51062,0.4445,0.3686,0.28226,0.27647,0.32294,0
1.81,0.20257,0.21676,0.1912,0.27242,0.54082,0.60366,0.60319,0.45455,0.57621,0.57857,0.21053,0.1991,0.22623,0.20366,0.24484,0.2552,0.10745,0.09476,0.11478,0.10058,0.12633,0.12851,0.24258,0.39443,0.09605,0.42175,0.17027,0.13088,0.68415,0.43056,0.67192,0.45035,0.47501,0.59613,0.20514,0.22726,0.24236,0.23206,0.40304,0.13689,0.33832,0.12823,0.44462,0.60974,0.49465,0.17269,0.76758,0.67254,0.72645,0.48219,0.14838,0.68077,0.44142,0.80071,0.27441,0.47965,0.16098,0.49244,0.28943,0.21017,0.18033,0.1523,0.50345,0
