TN,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,
2.23,0.14249,0.17096,0.1945,0.19024,0.68489,0.51703,0.78616,0.43363,0.72311,0.76101,0.15868,0.1741,0.20863,0.18947,0.21844,0.25115,0.07137,0.07175,0.11657,0.08343,0.12687,0.13116,0.30433,0.31085,0.2945,0.29326,0.30121,0.32936,0.59118,0.50637,0.3448,0.54382,0.32349,0.26771,0.17715,0.23016,0.25198,0.2365,0.30707,0.29843,0.5119,0.31158,0.32029,0.27188,0.58059,0.30664,0.38606,0.28206,0.40428,0.34708,0.30075,0.28071,0.32641,0.45835,0.34833,0.39611,0.41145,0.3822,0.45038,0.47212,0.36269,0.42877,0.31589,1
1.68,0.11705,0.11329,0.07706,0.04534,0.80064,0.73347,0.94035,0.64602,0.85438,0.84506,0.1153,0.09457,0.07708,0.09724,0.07994,0.07392,0.04957,0.0332,0.0402,0.03454,0.03882,0.02971,0.4547,0.82852,0.68416,0.72846,0.61561,0.41862,0.43138,0.0874,0.09208,0.15569,0.11402,0.19959,0.1034,0.10191,0.09433,0.10205,0.83165,0.64402,0.29946,0.54006,0.13497,0.30382,0.23687,0.52155,0.11342,0.3186,0.07253,0.06856,0.56561,0.39853,0.06555,0.12121,0.50467,0.87541,0.7839,0.79998,0.75276,0.56734,0.81637,0.5723,0.2208,1
2.23,0.45547,0.43048,0.34404,0.17201,0.66559,0.68337,0.94541,0.69617,0.88252,0.86228,0.44292,0.39387,0.29619,0.39749,0.30352,0.30407,0.285,0.22548,0.22423,0.22736,0.21037,0.18938,0.55686,0.57308,0.79717,0.40537,0.6742,0.62004,0.33485,0.25634,0.05294,0.4205,0.09058,0.09912,0.41612,0.38995,0.37665,0.40497,0.50545,0.72518,0.54319,0.70332,0.1258,0.16564,0.30163,0.64817,0.05877,0.15901,0.0756,0.09938,0.68886,0.20903,0.11024,0.10906,0.60558,0.66125,0.8681,0.50406,0.79733,0.74823,0.77611,0.75775,0.15247,1
7.66,0.5369,0.46653,0.33853,0.40118,0.75884,0.82365,0.71975,0.81711,0.64534,0.6238,0.49943,0.42504,0.5178,0.41203,0.50139,0.49685,0.34149,0.25084,0.47488,0.2373,0.42141,0.34572,0.69241,0.75357,0.40927,0.49207,0.30482,0.25833,0.21937,0.13143,0.24075,0.33802,0.31975,0.34014,0.44975,0.58544,0.53958,0.55562,0.64792,0.34812,0.54803,0.3251,0.36924,0.41852,0.16804,0.27535,0.22082,0.38956,0.22054,0.30211,0.31046,0.45223,0.33278,0.22749,0.73336,0.81641,0.53709,0.59089,0.45462,0.38812,0.48442,0.44947,0.41954,1
7.44,0.45547,0.51287,0.32294,1,0.40836,0.72946,0,1,0,0,0.48858,0.38152,1,0.42607,1,1,0.32356,0.2145,0.93939,0.24461,1,0.73504,0.32073,0.63827,0.01266,0.63559,0.0245,0,0.5726,0.20775,0.94485,0.22094,0.89136,1,0.43673,1,0.94954,0.87392,0.68056,0.0196,0.28274,0,0.88021,1,0.37934,0,0.96448,1,0.89076,0.82561,0,1,0.81124,0.91332,0.36585,0.71957,0.02102,0.72225,0.04558,0,0.05462,0,1,1
0.62,0.26463,0.24717,0.29358,0.33366,0.75563,0.49299,0.67642,0.33333,0.60342,0.66835,0.25571,0.28372,0.37076,0.2807,0.36288,0.41873,0.13355,0.13927,0.25578,0.14141,0.24346,0.26828,0.53295,0.3153,0.23985,0.16861,0.19652,0.27547,0.35665,0.5012,0.41046,0.70923,0.45731,0.32076,0.27766,0.38995,0.40798,0.39012,0.23177,0.21448,0.74367,0.25667,0.48272,0.32112,0.46966,0.22376,0.4091,0.301,0.46392,0.50841,0.22552,0.29901,0.5196,0.47794,0.58233,0.40107,0.34572,0.23216,0.3174,0.40912,0.26068,0.405,0.42667,0
1.14,0.85496,0.96704,0.8789,0.55939,0,0.14429,0.6798,0.51327,0.73635,0.75949,0.91952,0.87587,0.75702,0.95088,0.82074,0.87904,0.86046,0.79819,0.89323,0.91729,0.96149,1,0.29932,0.19965,0.46465,0.17542,0.46866,0.56572,0.59691,0.64971,0.20198,0.69926,0.18941,0.12113,0.92878,0.95182,1,1,0.17925,0.467,0.62363,0.52042,0.18794,0.11783,0.67573,0.50956,0.24862,0.12744,0.30532,0.25002,0.49517,0.11921,0.22786,0.3661,0.34295,0.2662,0.59242,0.2408,0.62642,0.70347,0.47169,0.64643,0.15781,0
2.48,0.45802,0.53038,0.5789,0.45589,0.36013,0.17435,0.6224,0.22714,0.61831,0.70025,0.49943,0.53251,0.53833,0.57444,0.56985,0.65351,0.3331,0.34899,0.47124,0.40518,0.51253,0.58997,0.28378,0.10877,0.28396,0.0847,0.29658,0.43145,0.61487,0.79129,0.35648,0.8424,0.32834,0.19133,0.54447,0.62392,0.68305,0.65632,0.07826,0.29135,0.72124,0.36315,0.32227,0.1654,0.77534,0.35192,0.40148,0.16892,0.48145,0.41176,0.33048,0.14298,0.38891,0.53467,0.3262,0.15073,0.39908,0.12124,0.44492,0.58018,0.29866,0.52103,0.25086,0
0.63,0.40076,0.4655,0.40183,0.10301,0.41801,0.47094,1,0.61062,0.97849,0.96506,0.43779,0.40462,0.21952,0.44612,0.26157,0.27173,0.2748,0.23408,0.14878,0.2721,0.16336,0.16117,0.28514,0.32308,1,0.31883,1,0.98817,0.61329,0.49224,0,0.51381,0,0.00214,0.43565,0.3383,0.36247,0.38175,0.32898,1,0.48061,1,0,0.03164,0.58161,1,0.05567,0.05482,0.08148,0.03146,1,0.07183,0.00553,0.15798,0.32767,0.40971,1,0.41102,1,0.99347,0.85759,0.89757,0.0118,0
2.51,0.68321,0.66117,0.58165,0.30508,0.5209,0.52305,0.8942,0.59292,0.85714,0.85671,0.67295,0.62923,0.48429,0.6396,0.49901,0.52625,0.53259,0.46804,0.46033,0.47709,0.43802,0.43487,0.54404,0.40617,0.71236,0.2512,0.60565,0.65588,0.34648,0.40351,0.08148,0.59589,0.11832,0.08609,0.65546,0.62322,0.625,0.65659,0.32771,0.64989,0.66579,0.68413,0.15131,0.1234,0.40195,0.62722,0.08845,0.11347,0.13632,0.1612,0.64986,0.13972,0.17089,0.16802,0.59315,0.49866,0.80573,0.3334,0.74488,0.77634,0.65621,0.78279,0.14303,0
