TN,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,
2.67,0.70799,0.85884,0.66895,0.22819,0,0.57315,0.98064,0.9764,1,0.94987,0.79207,0.68922,0.4093,0.76207,0.46973,0.44057,0.67739,0.54367,0.36005,0.62827,0.39003,0.39554,0.29367,0.44671,0.92481,0.44825,1,0.88348,0.60341,0.36431,0.01899,0.37845,0,0.02566,0.74785,0.5896,0.61584,0.6872,0.4701,0.98912,0.44351,0.92589,0,0.04352,0.49451,1,0.0842,0.08741,0.08728,0.0366,1,0.10033,0.00667,0.15657,0.33687,0.54004,0.95249,0.54776,1,0.92879,0.85523,0.81296,0,1
2.5,0.00689,0.06762,0.02626,0.0621,0.62205,0.68136,0.88269,0.66962,0.81585,0.83061,0.03967,0.01754,0.05488,0.04654,0.07242,0.06258,0.01379,0.00614,0.02124,0.01479,0.03383,0.02243,0.07096,0.75196,0.35482,1,0.47564,0.24587,0.89227,0.13242,0.30206,0,0.21548,0.37984,0.03485,0.06516,0.07155,0.0634,0.96288,0.43238,0,0.30483,0.17912,0.43661,0.47736,0.38979,0.40191,0.53077,0.30184,0.16027,0.38802,0.57411,0.09703,0.38683,0.08536,0.81511,0.4727,1,0.61418,0.35931,0.5707,0.2988,0.26795,1
7.8,0.47658,0.51957,0.3653,0.42435,0.46457,0.76954,0.65831,0.9174,0.6183,0.59947,0.5016,0.41729,0.50566,0.44095,0.51405,0.49601,0.34449,0.24958,0.43188,0.26643,0.4314,0.38833,0.4459,0.70556,0.30609,0.61064,0.2872,0.22328,0.44012,0.16184,0.35048,0.23978,0.38208,0.40991,0.45264,0.57019,0.56235,0.59044,0.69807,0.3022,0.41085,0.26901,0.40466,0.45605,0.28893,0.27221,0.36621,0.46773,0.3566,0.38558,0.2892,0.50623,0.38989,0.36171,0.49578,0.77702,0.41827,0.70044,0.41421,0.33088,0.38551,0.34185,0.41689,1
1.8,0.44077,0.44958,0.2911,0.3238,0.59449,0.8477,0.75968,0.9351,0.69922,0.67282,0.44722,0.36028,0.4093,0.36882,0.40997,0.38303,0.29379,0.19909,0.32853,0.2029,0.31384,0.26539,0.53083,0.86934,0.40526,0.71061,0.35938,0.24718,0.35861,0.06502,0.25888,0.16767,0.30754,0.37819,0.39114,0.47002,0.44842,0.48407,0.84058,0.38811,0.39708,0.32993,0.34394,0.45767,0.18905,0.32475,0.26555,0.4625,0.24224,0.29334,0.35756,0.5296,0.30916,0.25054,0.58026,0.90632,0.52622,0.78545,0.49609,0.36093,0.50224,0.39886,0.38163,1
1.68,0.63774,0.65125,0.51256,0.30015,0.48819,0.74549,0.86845,0.86431,0.82087,0.80053,0.64747,0.57143,0.4491,0.58057,0.45825,0.44435,0.50556,0.40331,0.40519,0.4097,0.38414,0.38471,0.54959,0.63048,0.6488,0.46538,0.5863,0.52227,0.34143,0.21333,0.11414,0.36235,0.14951,0.15445,0.59902,0.56187,0.55818,0.622,0.57093,0.62765,0.57202,0.59674,0.18958,0.20048,0.27689,0.58841,0.12653,0.20628,0.14031,0.18245,0.62113,0.24499,0.19842,0.1603,0.59854,0.71275,0.7507,0.56481,0.71323,0.65284,0.65719,0.65491,0.17853,1
1.65,0.60882,0.61684,0.46347,0.36175,0.51969,0.78958,0.78531,0.9056,0.73493,0.71187,0.61548,0.53133,0.49267,0.53869,0.49624,0.47879,0.46868,0.35935,0.45224,0.36311,0.42718,0.40945,0.55886,0.69475,0.50405,0.52148,0.44486,0.37896,0.33304,0.16895,0.18976,0.3122,0.23716,0.24657,0.56089,0.58787,0.57659,0.63161,0.63734,0.48151,0.53479,0.4491,0.27833,0.2998,0.24439,0.43794,0.19604,0.30142,0.20221,0.25804,0.46891,0.34644,0.27754,0.2121,0.60752,0.76797,0.62359,0.61902,0.58443,0.51211,0.55234,0.5311,0.2745,1
7.44,0.49311,0.59075,0.40183,1,0.27559,0.72946,0,1,0,0,0.54766,0.44486,1,0.49447,1,1,0.38788,0.27534,0.93939,0.31438,1,0.87765,0.32073,0.63827,0,0.63559,0,0,0.5726,0.20775,1,0.22094,1,1,0.49528,1,1,0.97266,0.68056,0,0.32543,0,1,1,0.37934,0,1,1,1,1,0,1,1,0.93515,0.36585,0.71957,0,0.72225,0,0,0,0,1,1
2.35,0.51515,0.56465,0.44635,0.29374,0.4252,0.68337,0.82517,0.82006,0.78739,0.77678,0.54383,0.47932,0.40637,0.50436,0.42422,0.41453,0.38742,0.30868,0.33993,0.33073,0.34035,0.33894,0.44008,0.57033,0.53367,0.47735,0.51727,0.45837,0.44594,0.25849,0.17218,0.35133,0.18865,0.19092,0.50882,0.50121,0.50816,0.55198,0.54885,0.5364,0.50189,0.50643,0.21113,0.2233,0.35398,0.51794,0.1998,0.24158,0.20853,0.21897,0.53504,0.26809,0.21792,0.23554,0.48988,0.65873,0.65101,0.57657,0.65283,0.59279,0.57721,0.57048,0.20125,1
6.62,0.44353,0.62159,0.76598,0.65352,0.0315,0.01804,0.37984,0.13569,0.40681,0.53931,0.54127,0.62218,0.69041,0.69517,0.73209,0.83872,0.37357,0.43864,0.59662,0.55594,0.70643,1,0.12851,0,0.10809,0.04468,0.16122,0.33528,0.81097,1,0.66262,0.91362,0.5645,0.28362,0.62198,0.75286,0.87565,0.85427,0,0.1411,0.80407,0.23386,0.5358,0.20089,1,0.25618,0.72594,0.22444,0.87916,0.73245,0.21589,0.15316,0.69379,0.86944,0.15266,0,0.16496,0.06518,0.25223,0.46456,0.08868,0.35663,0.33634,0
2.54,0.63636,0.74377,0.93607,0.48004,0.17717,0,0.66002,0,0.66071,0.80369,0.69674,0.80326,0.60159,0.84177,0.63356,0.75346,0.55807,0.67173,0.58845,0.75374,0.61756,0.91937,0.34986,0.06094,0.36824,0,0.38099,0.63455,0.54034,0.877,0.28995,1,0.28815,0.10315,0.7827,0.71508,0.84092,0.86629,0.00213,0.38396,1,0.52179,0.29585,0.0423,0.79647,0.5277,0.32736,0.0531,0.48473,0.47665,0.49024,0.00101,0.46759,0.48769,0.39669,0.08623,0.48721,0,0.51925,0.74917,0.2872,0.68601,0.13019,0
